Método,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
DA-PSO,50,23:46:54.978776,2024-03-01,23:47:03.618691,0:00:08.639915
Índice de similitud,Ranking
1.0,9
1.284,8
1.311,7
1.388,6
1.4889999999999999,5
1.524,4
1.887,3
2.299,2
3.082,1
1.2770000000000001,9
1.298,6
1.5310000000000001,3
2.012,2
2.017,5
2.0300000000000002,4
2.049,7
2.3049999999999997,1
2.598,8
1.272,9
1.303,6
1.538,3
1.905,4
2.032,5
2.058,2
2.075,7
2.334,1
2.659,8
1.296,9
1.331,6
1.579,3
1.9020000000000001,4
2.105,5
2.146,2
2.154,7
2.239,1
2.525,8
1.31,9
1.338,6
1.577,3
1.871,4
2.099,5
2.142,2
2.1479999999999997,7
2.2640000000000002,1
2.552,8
1.347,9
1.371,6
1.599,3
1.963,4
2.073,7
2.134,5
2.186,2
2.222,1
2.451,8
1.384,9
1.4,6
1.611,3
1.928,4
2.035,7
2.142,5
2.199,2
2.238,1
2.441,8
1.432,9
1.438,6
1.623,3
1.847,7
1.9689999999999999,4
2.149,5
2.214,2
2.255,1
2.259,8
1.43,6
1.432,9
1.567,3
1.9,4
2.0220000000000002,5
2.0940000000000003,2
2.136,1
2.223,7
2.224,8
1.444,6
1.444,9
1.5350000000000001,3
1.8719999999999999,5
1.971,4
2.0069999999999997,2
2.0700000000000003,1
2.096,7
2.5780000000000003,8
1.446,9
1.468,6
1.494,3
1.77,7
2.005,1
2.016,4
2.035,2
2.275,5
2.285,8
1.459,3
1.466,6
1.4849999999999999,9
1.9340000000000002,1
1.968,2
2.0060000000000002,4
2.075,8
2.135,5
2.261,7
1.509,3
1.538,9
1.5390000000000001,6
1.7229999999999999,8
2.018,1
2.033,2
2.0629999999999997,4
2.121,5
2.2119999999999997,7
1.513,3
1.54,9
1.565,8
1.571,6
1.9140000000000001,5
1.92,7
1.99,2
2.0069999999999997,1
2.365,4
1.414,3
1.43,9
1.478,6
1.724,2
1.786,1
1.944,5
2.1310000000000002,4
2.168,7
2.652,8
1.452,9
1.455,3
1.525,6
1.742,2
1.8399999999999999,1
1.9220000000000002,5
2.133,7
2.222,4
2.6710000000000003,8
1.472,9
1.496,3
1.564,6
1.818,2
1.874,5
1.9220000000000002,1
1.946,7
2.285,4
2.621,8
1.458,9
1.499,3
1.552,6
1.728,5
1.8279999999999998,2
1.951,1
2.2359999999999998,4
2.3979999999999997,7
2.4050000000000002,8
1.0,5
1.4769999999999999,9
1.537,3
1.5739999999999998,6
1.901,2
2.0469999999999997,1
2.279,4
2.292,7
2.294,8
1.488,9
1.569,3
1.58,6
1.728,5
1.963,2
2.081,7
2.125,1
2.17,8
2.298,4
1.494,9
1.581,6
1.5899999999999999,3
1.608,7
1.9340000000000002,5
2.012,2
2.0860000000000003,8
2.174,1
2.3129999999999997,4
1.462,9
1.537,6
1.558,3
1.9529999999999998,8
1.962,5
1.9649999999999999,2
2.116,1
2.2190000000000003,4
2.449,7
1.471,9
1.544,6
1.5779999999999998,3
1.954,8
1.9969999999999999,2
2.029,5
2.15,1
2.229,4
2.324,7
1.479,9
1.5510000000000002,6
1.593,3
1.982,8
2.02,2
2.074,5
2.1559999999999997,7
2.174,1
2.24,4
1.4849999999999999,9
1.557,6
1.605,3
1.959,7
2.029,8
2.035,2
2.101,5
2.19,1
2.247,4
1.4889999999999999,9
1.557,6
1.6059999999999999,3
1.792,7
2.034,2
2.075,8
2.105,5
2.1959999999999997,1
2.241,4
1.491,9
1.5590000000000002,6
1.609,3
1.831,7
2.033,2
2.105,5
2.114,8
2.1950000000000003,1
2.231,4
1.492,9
1.558,6
1.608,3
1.9649999999999999,7
2.027,2
2.098,5
2.136,8
2.189,1
2.217,4
1.4929999999999999,9
1.557,6
1.607,3
2.021,2
2.066,7
2.09,5
2.1559999999999997,8
2.184,1
2.202,4
1.49,9
1.552,6
1.6019999999999999,3
2.009,2
2.077,5
2.124,7
2.161,8
2.168,1
2.1799999999999997,4
1.491,9
1.5510000000000002,6
1.603,3
2.003,2
2.0709999999999997,5
2.1630000000000003,7
2.1639999999999997,1
2.166,4
2.1719999999999997,8
1.495,9
1.552,6
1.605,3
2.001,2
2.069,5
2.157,4
2.1630000000000003,1
2.1799999999999997,8
2.184,7
1.498,9
1.554,6
1.608,3
2.001,2
2.067,5
2.1479999999999997,4
2.1630000000000003,1
2.1870000000000003,8
2.193,7
1.502,9
1.5550000000000002,6
1.609,3
2.0,2
2.065,5
2.146,4
2.1630000000000003,1
2.1959999999999997,7
2.1959999999999997,8
1.505,9
1.557,6
1.612,3
1.999,2
2.064,5
2.1470000000000002,4
2.1630000000000003,1
2.1959999999999997,7
2.2030000000000003,8
1.509,9
1.56,6
1.6139999999999999,3
1.999,2
2.064,5
2.1470000000000002,4
2.1630000000000003,1
2.192,7
2.2030000000000003,8
1.512,9
1.561,6
1.617,3
1.999,2
2.0629999999999997,5
2.146,4
2.162,1
2.1879999999999997,7
2.201,8
1.5150000000000001,9
1.562,6
1.619,3
1.998,2
2.0629999999999997,5
2.145,4
2.161,1
2.184,7
2.201,8
1.5190000000000001,9
1.563,6
1.62,3
1.9969999999999999,2
2.0620000000000003,5
2.144,4
2.161,1
2.181,7
2.201,8
1.5230000000000001,9
1.565,6
1.623,3
1.9969999999999999,2
2.0620000000000003,5
2.145,4
2.162,1
2.1799999999999997,7
2.201,8
1.526,9
1.567,6
1.626,3
1.996,2
2.0620000000000003,5
2.145,4
2.161,1
2.175,7
2.201,8
1.5310000000000001,9
1.568,6
1.6280000000000001,3
1.995,2
2.061,5
2.145,4
2.161,1
2.175,7
2.2,8
1.534,9
1.5699999999999998,6
1.63,3
1.994,2
2.06,5
2.144,4
2.16,1
2.175,7
2.2,8
1.537,9
1.571,6
1.6320000000000001,3
1.9929999999999999,2
2.059,5
2.143,4
2.159,1
2.174,7
2.199,8
1.541,9
1.572,6
1.635,3
1.9929999999999999,2
2.059,5
2.143,4
2.16,1
2.174,7
2.199,8
1.545,9
1.573,6
1.637,3
1.992,2
2.058,5
2.142,4
2.159,1
2.173,7
2.198,8
1.55,9
1.575,6
1.6400000000000001,3
1.992,2
2.059,5
2.143,4
2.159,1
2.173,7
2.198,8
1.554,9
1.576,6
1.641,3
1.991,2
2.058,5
2.142,4
2.158,1
2.1719999999999997,7
2.198,8
1.558,9
1.5779999999999998,6
1.6440000000000001,3
1.99,2
2.057,5
2.141,4
2.157,1
2.1710000000000003,7
2.198,8
1.562,9
1.579,6
1.646,3
1.988,2
2.056,5
2.1399999999999997,4
2.157,1
2.1710000000000003,7
2.198,8
0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
6.0
6.0
9.0
3.0
3.0
3.0
3.0
9.0
9.0
9.0
5.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
w(inertia),c1,c2,No. de iteraciones
0.7,2.5,2.5,50
0
0.123
0.099
0.043
0.343
0.392
8
0.083
0.083
0.066
0.051
0.0
7
0.079
0.079
0.066
0.035
0.002
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
C1,C2,C3,C4,C5
0.346,0.416,0.26,0.42,0.64
0.422,0.375,0.654,0.519,0.288
0.527,0.311,0.114,0.425,0.061
0.164,0.354,0.816,0.2,0.944
0.869,0.219,0.338,0.488,0.361
0.362,0.027,0.039,0.19,0.054
0.553,0.493,0.201,0.358,0.54
0.391,0.758,0.85,0.764,0.785
0.024,0.021,0.974,0.368,0.035
0.249,0.298,0.181,0.291,0.447
0.301,0.269,0.458,0.361,0.201
0.374,0.223,0.08,0.295,0.043
0.119,0.252,0.572,0.139,0.661
0.612,0.157,0.236,0.339,0.253
0.256,0.021,0.027,0.132,0.038
0.389,0.347,0.141,0.251,0.378
0.274,0.531,0.595,0.536,0.549
0.017,0.015,0.682,0.258,0.025
0.132,0.157,0.096,0.175,0.31
0.157,0.141,0.245,0.218,0.139
0.193,0.117,0.043,0.178,0.03
0.039,0.078,0.212,0.067,0.459
0.184,0.05,0.087,0.161,0.176
0.131,0.013,0.014,0.08,0.026
0.116,0.104,0.052,0.122,0.263
0.082,0.157,0.22,0.261,0.382
0.005,0.004,0.252,0.125,0.017
-0.003,-0.005,0.005,0.056,0.212
-0.007,-0.005,0.015,0.072,0.095
-0.012,-0.004,0.003,0.058,0.021
0.0,-0.006,0.02,0.028,0.317
-0.063,-0.013,-0.007,0.045,0.121
-0.009,0.002,0.001,0.027,0.018
-0.041,-0.036,-0.004,0.038,0.181
-0.029,-0.058,-0.017,0.081,0.263
-0.001,-0.001,0.022,0.054,0.012
-0.07,-0.085,-0.044,-0.01,0.144
-0.087,-0.076,-0.11,-0.018,0.064
-0.11,-0.063,-0.019,-0.015,0.014
-0.027,-0.064,-0.118,-0.001,0.218
-0.172,-0.041,-0.057,-0.025,0.082
-0.077,-0.004,-0.006,-0.006,0.012
-0.11,-0.098,-0.033,-0.014,0.123
-0.084,-0.164,-0.144,-0.019,0.18
