Algoritmo,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
MOORA-BA,10,22:42:11.774147,2024-03-10,22:42:18.876795,0:00:07.102648
Puntuación Global,Alternativa
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
C1,C2,C3,C4,C5
0.464,0.074,0.544,0.16,0.422
0.973,0.352,0.254,0.477,0.269
0.216,0.344,0.843,0.478,0.93
0.86,0.26,0.912,0.216,0.559
0.321,0.88,0.376,0.569,0.824
0.463,0.317,0.405,0.119,0.047
0.368,0.052,0.642,0.431,0.551
0.228,0.925,0.646,0.754,0.605
0.669,0.0,0.194,0.9,0.187
0.327,0.055,0.381,0.112,0.285
0.683,0.248,0.178,0.335,0.185
0.152,0.242,0.591,0.336,0.65
0.603,0.183,0.64,0.156,0.391
0.225,0.616,0.263,0.398,0.577
0.324,0.221,0.284,0.088,0.033
0.256,0.035,0.45,0.309,0.386
0.158,0.646,0.453,0.537,0.424
0.466,-0.002,0.136,0.636,0.131
0.187,0.036,0.203,0.05,0.173
0.385,0.143,0.095,0.165,0.116
0.063,0.099,0.213,0.095,0.412
0.339,0.105,0.343,0.078,0.252
0.128,0.346,0.14,0.197,0.372
0.182,0.125,0.152,0.044,0.021
0.144,0.021,0.241,0.158,0.249
0.063,0.254,0.163,0.163,0.269
0.183,-0.001,0.049,0.189,0.083
0.059,0.014,0.045,0.002,0.087
0.153,0.021,0.005,-0.016,0.062
0.003,0.004,-0.021,-0.036,0.244
0.131,0.032,0.119,0.014,0.142
0.038,0.136,0.031,0.023,0.209
0.053,0.036,0.034,0.009,0.013
0.041,0.004,0.055,0.027,0.14
0.009,0.046,0.012,-0.011,0.151
0.032,-0.004,0.004,-0.02,0.048
-0.039,-0.004,-0.073,-0.032,0.022
-0.021,-0.043,-0.042,-0.104,0.021
-0.029,-0.046,-0.144,-0.1,0.128
-0.033,-0.024,-0.057,-0.034,0.057
-0.037,-0.052,-0.056,-0.108,0.105
-0.044,-0.031,-0.054,-0.017,0.006
-0.037,-0.008,-0.085,-0.069,0.056
-0.03,-0.074,-0.095,-0.131,0.06
-0.078,-0.006,-0.028,-0.162,0.02
-0.102,-0.016,-0.144,-0.05,-0.025
-0.139,-0.082,-0.068,-0.146,-0.008
-0.047,-0.075,-0.206,-0.126,0.04
-0.143,-0.06,-0.171,-0.061,-0.006
-0.078,-0.154,-0.102,-0.174,0.025
-0.106,-0.074,-0.106,-0.032,0.001
