Algoritmo,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
MOORA-BA,15,17:42:32.141588,2024-02-29,17:42:33.008961,0:00:00.867373
Puntuación Global,Alternativa
-0.38398766969166,4
-0.41125056899820084,2
-0.4191107041690033,3
-0.42233214049927387,5
-0.42791669218706463,0
-0.4372683355604407,6
-0.4403262004203236,1
-0.4420245474025059,8
-0.44883870745540005,7
-0.3462866709247097,4
-0.3483426994544834,8
-0.3911343923084128,5
-0.4017456068264904,2
-0.4317763512970928,7
-0.4443744285938102,6
-0.47603327316300176,0
-0.48755050095951147,3
-0.5625675340353546,1
-0.344484474036035,4
-0.3545524698761974,8
-0.3986598507962936,5
-0.41032523411475397,2
-0.42017070942967716,7
-0.4479986759416232,6
-0.4765136920069698,0
-0.4944595995817948,3
-0.5374492563597026,1
-0.3499190952444262,4
-0.3687793524354106,8
-0.3954960439959898,5
-0.4129102441263002,2
-0.4149672007378296,7
-0.44815957780566085,6
-0.4969486816182414,0
-0.5047092838243982,3
-0.5545276553536752,1
-0.3600000674721243,4
-0.3899270094598669,8
-0.4102121872746741,7
-0.4109382206140285,5
-0.42781198107261253,2
-0.4659774648627278,6
-0.5040568346056948,0
-0.5195073935745127,3
-0.56718925676333,1
-0.3777547879619707,4
-0.4045142615482223,7
-0.41458860592878116,8
-0.4245297047806387,5
-0.43794048135724223,2
-0.4919964890267775,6
-0.5109176435273275,0
-0.5389276981988853,3
-0.5691900924999264,1
-0.3983138286371303,7
-0.40904283256997553,4
-0.43059079125663813,5
-0.4330658899993268,8
-0.43558341466474304,2
-0.5113536415168866,0
-0.5294814968154773,6
-0.5529990123355875,1
-0.5595803353393245,3
-0.39382064923328003,7
-0.419041450297136,5
-0.4212246616043328,2
-0.4317265581792159,8
-0.4683932076167869,4
-0.4920898384404142,0
-0.5188920444818026,1
-0.5639154160363948,3
-0.5780884353576691,6
-0.3924124124641844,7
-0.3946864832529551,5
-0.4037870101280372,2
-0.40973028464714645,8
-0.4521337436424684,0
-0.4667537904261657,3
-0.475172497724742,1
-0.49611919032396357,6
-0.548178397745858,4
-0.34571476783673233,6
-0.37202656367565884,5
-0.39369666153763183,2
-0.395575520123457,7
-0.4038719792510563,3
-0.40756248564390785,0
-0.4085024968448109,4
-0.42912952770841434,8
-0.43518123453147806,1
-0.251838144075477,6
-0.2728223679435005,3
-0.3236415862436902,4
-0.35889432332115245,0
-0.3746044865821695,5
-0.3962760182297196,2
-0.39689100134139205,8
-0.4026397718017438,7
-0.4070121851547448,1
-0.3596998487245669,0
-0.36268892520176466,4
-0.37803474147301963,5
-0.387359805476177,1
-0.4017442067864779,2
-0.4165610690801151,7
-0.45763292959373064,8
-0.5769881544554333,3
-0.5824254329023583,6
-0.3345149581642511,5
-0.36713742754003986,0
-0.37451295026872783,1
-0.37832273270909667,4
-0.40396754301724624,2
-0.43027392226657246,7
-0.48231380144123753,8
-0.5763843583327044,3
-0.6045215888096598,6
-0.3418824622017257,5
-0.3567486840781124,6
-0.3708444129002363,8
-0.37104190709144735,2
-0.38185577814435223,1
-0.3989127693191972,0
-0.41613256490227657,4
-0.4522912559769552,7
-0.47748434945989565,3
-0.3777265377094856,5
-0.40689316198472675,1
-0.4243906268875217,2
-0.42652339538632295,6
-0.44896200427857497,4
-0.4628622050232354,8
-0.4660471067094425,0
-0.48170011552685854,7
-0.5188709432677008,3
0
5.0
5.0
5.0
5.0
5.0
5.0
8.0
8.0
8.0
7.0
7.0
1.0
6.0
6.0
6.0
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
w(inertia),c1,c2,No. de iteraciones
0.7,2.5,2.5,15
0
0.5
0.2
0.03
0.07
0.3
4
0.066
0.066
0.07
0.085
0.004
2
0.057
0.057
0.066
0.076
0.022
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
