Método,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
DA-PSO,50,19:56:46.657055,2024-03-11,19:56:56.182677,0:00:09.525622
Índice de similitud,Ranking
1.0,9
1.284,8
1.311,7
1.388,6
1.4889999999999999,5
1.524,4
1.887,3
2.299,2
3.082,1
1.338,9
1.655,7
1.7349999999999999,5
1.916,1
1.974,3
2.029,8
2.1109999999999998,2
2.1109999999999998,6
2.152,4
1.324,9
1.6320000000000001,7
1.7570000000000001,5
1.954,1
1.9649999999999999,8
2.011,3
2.0949999999999998,2
2.167,6
2.224,4
1.359,9
1.741,7
1.8399999999999999,5
1.899,1
1.944,3
2.003,8
2.1180000000000003,2
2.123,6
2.197,4
1.3559999999999999,9
1.746,7
1.817,5
1.911,1
1.9409999999999998,8
1.946,3
2.123,6
2.1790000000000003,2
2.208,4
1.388,9
1.823,7
1.851,5
1.903,1
1.905,3
2.036,8
2.0549999999999997,6
2.176,4
2.2039999999999997,2
1.408,9
1.8399999999999999,5
1.869,7
1.912,3
1.935,1
1.9689999999999999,8
2.0,6
2.2039999999999997,4
2.298,2
1.423,9
1.725,5
1.883,3
1.901,7
1.904,8
1.938,1
2.1870000000000003,6
2.1959999999999997,4
2.354,2
1.431,9
1.697,3
1.909,1
1.9140000000000001,7
1.924,5
1.943,6
1.975,8
2.041,4
2.362,2
1.411,9
1.7309999999999999,1
1.766,8
1.78,5
1.843,7
1.959,3
2.225,2
2.24,6
2.3289999999999997,4
1.4020000000000001,5
1.4729999999999999,9
1.802,1
1.883,7
1.96,3
1.976,8
2.098,6
2.222,2
2.299,4
1.512,9
1.803,1
1.817,7
1.831,3
1.885,8
1.938,5
1.954,4
2.0380000000000003,2
2.27,6
1.0,8
1.659,9
1.867,5
1.871,7
1.8900000000000001,4
1.951,3
1.9689999999999999,1
2.099,2
2.137,6
1.6440000000000001,5
1.658,6
1.763,9
1.8559999999999999,7
1.936,4
1.95,3
2.037,1
2.098,2
2.1710000000000003,8
1.65,7
1.7,9
1.788,5
1.808,3
1.8199999999999998,2
1.895,1
1.904,8
1.9889999999999999,6
2.662,4
1.624,7
1.704,2
1.812,5
1.841,9
1.871,8
1.913,6
1.9180000000000001,3
2.036,1
2.634,4
1.441,7
1.6179999999999999,6
1.67,5
1.772,3
1.786,9
1.9569999999999999,1
1.991,8
2.23,4
2.63,2
1.308,7
1.595,5
1.81,9
1.8159999999999998,3
1.9569999999999999,8
1.964,6
1.994,1
2.021,4
2.559,2
1.212,7
1.584,5
1.889,9
1.935,4
1.947,8
1.97,6
2.02,3
2.1029999999999998,1
2.552,2
1.0,8
1.331,7
1.671,5
1.8439999999999999,4
1.936,9
1.9449999999999998,6
2.146,3
2.182,1
2.4450000000000003,2
1.444,7
1.702,4
1.783,5
1.8319999999999999,6
1.917,9
2.17,3
2.1790000000000003,1
2.214,2
2.259,8
1.56,7
1.6099999999999999,4
1.776,6
1.888,5
1.921,9
2.004,2
2.2039999999999997,1
2.218,3
2.234,8
1.631,4
1.639,7
1.788,2
1.846,6
1.916,9
1.954,5
2.152,8
2.216,1
2.237,3
1.6680000000000001,2
1.697,7
1.772,4
1.897,9
1.958,6
1.982,5
1.992,8
2.209,1
2.233,3
1.692,2
1.696,7
1.829,9
1.861,4
1.94,5
1.991,6
2.1310000000000002,1
2.16,3
2.284,8
1.721,7
1.786,2
1.8159999999999998,9
1.946,5
1.948,4
2.06,6
2.12,1
2.149,3
2.21,8
1.734,7
1.807,9
1.851,2
1.9449999999999998,5
1.991,4
2.0869999999999997,8
2.109,6
2.113,1
2.1390000000000002,3
1.7429999999999999,7
1.806,9
1.858,8
1.908,2
1.9449999999999998,5
2.026,4
2.1189999999999998,1
2.142,3
2.144,6
1.717,7
1.7730000000000001,9
1.9020000000000001,5
1.9140000000000001,2
2.0,4
2.073,1
2.0940000000000003,3
2.1029999999999998,6
2.2350000000000003,8
1.729,7
1.783,9
1.907,5
1.959,2
2.026,4
2.0860000000000003,1
2.108,3
2.115,6
2.166,8
1.734,7
1.788,9
1.908,5
1.994,2
2.044,4
2.065,8
2.089,1
2.1100000000000003,3
2.1180000000000003,6
1.741,7
1.796,9
1.911,5
1.931,8
2.026,2
2.06,4
2.096,1
2.115,3
2.123,6
1.697,8
1.7429999999999999,7
1.799,9
1.913,5
2.044,2
2.069,4
2.093,1
2.1109999999999998,3
2.12,6
1.7429999999999999,7
1.776,8
1.8,9
1.913,5
2.05,2
2.075,4
2.088,1
2.104,3
2.12,6
1.74,7
1.8010000000000002,9
1.909,5
1.916,8
2.0540000000000003,2
2.0780000000000003,4
2.0860000000000003,1
2.099,3
2.114,6
1.7349999999999999,7
1.8010000000000002,9
1.9,5
1.988,8
2.057,2
2.083,4
2.084,1
2.097,3
2.104,6
1.732,7
1.799,9
1.899,5
2.028,8
2.061,2
2.08,1
2.088,4
2.0949999999999998,3
2.1029999999999998,6
1.722,7
1.79,9
1.8900000000000001,5
2.051,8
2.059,2
2.069,1
2.084,3
2.085,4
2.093,6
1.718,7
1.788,9
1.889,5
2.0629999999999997,2
2.065,1
2.072,8
2.084,3
2.09,4
2.093,6
1.716,7
1.783,9
1.888,5
2.064,1
2.064,2
2.0789999999999997,8
2.084,3
2.085,6
2.09,4
1.7149999999999999,7
1.775,9
1.889,5
2.0629999999999997,1
2.064,2
2.081,8
2.085,3
2.085,6
2.091,4
1.714,7
1.775,9
1.889,5
2.061,1
2.064,2
2.081,8
2.085,3
2.085,6
2.091,4
1.712,7
1.774,9
1.888,5
2.061,1
2.064,2
2.0789999999999997,8
2.085,3
2.0860000000000003,6
2.091,4
1.7109999999999999,7
1.774,9
1.888,5
2.061,1
2.064,2
2.076,8
2.085,3
2.0860000000000003,6
2.091,4
1.71,7
1.774,9
1.888,5
2.0620000000000003,1
2.065,2
2.075,8
2.085,3
2.0860000000000003,6
2.091,4
1.7109999999999999,7
1.775,9
1.888,5
2.065,1
2.066,2
2.075,8
2.0869999999999997,6
2.088,3
2.0940000000000003,4
1.7109999999999999,7
1.7730000000000001,9
1.887,5
2.064,1
2.065,2
2.073,8
2.0869999999999997,3
2.0869999999999997,6
2.0940000000000003,4
1.7109999999999999,7
1.7730000000000001,9
1.887,5
2.065,1
2.066,2
2.073,8
2.088,3
2.088,6
2.0949999999999998,4
1.71,7
1.772,9
1.887,5
2.065,1
2.066,2
2.072,8
2.088,3
2.088,6
2.0949999999999998,4
1.709,7
1.771,9
1.887,5
2.065,1
2.066,2
2.072,8
2.088,3
2.088,6
2.0949999999999998,4
0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
5.0
9.0
8.0
5.0
7.0
7.0
7.0
7.0
7.0
8.0
7.0
7.0
4.0
2.0
2.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
8.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
w(inertia),c1,c2,No. de iteraciones
0.7,2.5,2.5,50
0
0.123
0.099
0.043
0.343
0.392
8
0.083
0.083
0.066
0.051
0.0
7
0.079
0.079
0.066
0.035
0.002
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
C1,C2,C3,C4,C5
0.555,0.107,0.866,0.267,0.667
0.118,0.741,0.306,0.918,0.622
0.728,0.319,0.947,0.274,0.806
0.593,0.124,0.91,0.81,0.744
0.809,0.806,1.0,0.302,0.289
0.918,0.811,0.002,0.519,0.766
0.19,0.367,0.547,0.965,0.173
0.961,0.409,0.105,0.362,0.918
0.625,0.532,0.329,0.012,0.21
0.395,0.082,0.606,0.184,0.466
0.089,0.525,0.214,0.64,0.435
0.515,0.228,0.663,0.19,0.564
0.419,0.091,0.637,0.566,0.521
0.57,0.568,0.699,0.208,0.202
0.645,0.57,0.001,0.363,0.536
0.135,0.258,0.383,0.676,0.121
0.673,0.287,0.073,0.255,0.643
0.438,0.372,0.23,0.008,0.147
0.205,0.048,0.324,0.11,0.323
0.051,0.27,0.114,0.389,0.302
0.157,0.072,0.245,0.09,0.392
0.128,0.031,0.236,0.274,0.362
0.172,0.171,0.258,0.098,0.14
0.193,0.171,0.0,0.175,0.373
0.041,0.078,0.142,0.328,0.084
0.199,0.085,0.027,0.125,0.447
0.129,0.11,0.085,0.004,0.102
-0.011,0.005,0.019,0.034,0.221
0.014,0.038,0.026,0.207,0.207
-0.05,-0.019,-0.019,0.025,0.27
-0.041,-0.005,-0.017,0.083,0.249
-0.058,-0.058,0.054,0.026,0.096
-0.068,-0.06,-0.0,0.052,0.257
-0.004,-0.01,0.013,0.164,0.058
-0.032,-0.013,0.002,0.056,0.309
-0.022,-0.018,0.008,0.002,0.07
-0.117,-0.016,-0.108,-0.008,0.151
-0.018,-0.14,-0.044,0.079,0.141
-0.153,-0.064,-0.16,-0.011,0.185
-0.124,-0.022,-0.153,-0.023,0.17
-0.16,-0.16,-0.101,-0.017,0.065
-0.197,-0.174,-0.0,-0.016,0.176
-0.034,-0.068,-0.082,0.014,0.039
-0.181,-0.077,-0.016,-0.005,0.212
-0.118,-0.101,-0.049,-0.0,0.047
