Algoritmo,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
MOORA-BA,5,20:03:59.158033,2024-03-11,20:04:00.959861,0:00:01.801828
Puntuación Global,Alternativa
-0.3382830958419764,4
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
0.048,0.047,0.07,0.087,0.19
0.452,0.326,0.498,0.271,0.6
0.606,0.327,0.3,0.13,0.425
0.163,0.511,0.171,0.623,0.585
0.529,0.668,0.638,0.324,0.544
0.585,0.604,0.651,0.579,0.517
0.354,0.508,0.658,0.678,0.577
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
0.318,0.977,0.489,0.786,0.535
0.674,0.478,0.73,0.369,0.957
0.911,0.476,0.426,0.16,0.694
0.217,0.759,0.23,0.917,0.968
0.785,0.8,0.942,0.446,0.903
0.869,0.898,0.965,0.85,0.859
0.506,0.745,0.975,0.8,0.958
0.875,0.091,0.661,0.233,0.045
0.673,0.618,0.85,0.5,0.267
0.337,0.8,0.497,0.755,0.599
0.674,0.478,0.73,0.369,0.957
0.911,0.476,0.426,0.16,0.694
0.217,0.759,0.23,0.917,0.968
0.864,0.93,0.8,0.453,0.8
0.955,0.987,0.8,0.885,0.8
0.552,0.816,0.8,0.885,0.8
0.916,0.089,0.673,0.232,0.059
0.702,0.644,0.866,0.487,0.329
0.311,0.733,0.431,0.601,0.611
0.686,0.488,0.692,0.316,0.896
0.78,0.484,0.406,0.137,0.901
0.22,0.767,0.221,0.803,0.909
0.805,0.897,0.726,0.383,0.898
0.888,0.917,0.728,0.752,0.891
0.514,0.758,0.729,0.787,0.906
0.823,0.084,0.581,0.198,0.066
0.631,0.579,0.745,0.396,0.355
0
-0.40708293498554415
-0.4026550323456228
-0.36767941205972976
-0.3686056241719612
-0.3382830958419764
-0.36967227260659635
-0.3810834372102042
-0.39006486709575044
-0.3843842686367432
-0.3691601084622382
-0.46175493349654856
-0.5195081783674542
-0.3826965968472905
-0.4442431296990369
-0.43291086865295625
-0.38117486893134667
-0.36967373605272535
-0.3785332378859591
-0.3727930504152634
-0.4648648670933656
-0.52365382483125
-0.3830721813841104
-0.4526485302013541
-0.43925379688256233
-0.39740698133804786
-0.3711910884823865
-0.3891625116231219
-0.3903875711144174
-0.464584093626914
-0.5153965878622491
-0.3740839119988314
-0.4701380140907958
-0.45556452743111336
-0.4076011152918628
-0.3762508675885466
-0.4016066199211363
-0.4085142690152135
-0.47288012202315954
-0.5169605379288642
-0.3928654490138222
-0.4784639414003876
-0.4693239885358338
-0.4211100075811228
-0.3846900916552679
-0.41864303136054215
0
-0.3382830958419764
-0.3691601084622382
-0.3711910884823865
-0.3740839119988314
-0.3846900916552679
C1,C2,C3,C4,C5
0.079,0.079,0.066,0.035,0.002
C1,C2,C3,C4,C5
0.20833757201520545,0.20399720593155532,0.303825625855508,0.3776118492775598,0.8246695558935215
0.37671168074700806,0.36960391318574376,0.469112659043444,0.5757291724624086,0.4122505185533296
0.43571156938471095,0.43571156938471095,0.5045081329717706,0.5809487591796145,0.16816937765725684
0.5050507999704219,0.5050507999704219,0.5131967806151061,0.472466877391685,0.057021864512789566
0.45704573849683605,0.45704573849683605,0.48474548022391706,0.5886195117004707,0.027699741727080972
0.5265986789267755,0.5341215171971578,0.4965073258452454,0.43632461968218533,0.02256851481114752
0.5618489835023651,0.5618489835023651,0.49442710548208135,0.3520920296614822,0.014982639560063071
0.587738403596496,0.587738403596496,0.4910219574350473,0.26039043197313116,0.014879453255607494
