Algoritmo,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
MOORA-BA,15,17:42:03.953341,2024-02-29,17:42:05.251976,0:00:01.298635
Puntuación Global,Alternativa
-0.3382830958419764,4
-0.36767941205972976,2
-0.3686056241719612,3
-0.36967227260659635,5
-0.3810834372102042,6
-0.3843842686367432,8
-0.39006486709575044,7
-0.4026550323456228,1
-0.40708293498554415,0
-0.3661667722535398,3
-0.3709410695065991,1
-0.37212567963554477,0
-0.3798957846784735,2
-0.3803530804548614,5
-0.43127110269820707,4
-0.4551657179859725,8
-0.4568912215454805,6
-0.5036659397357302,7
-0.35717922738834973,3
-0.3632872674452968,0
-0.3703247159277008,1
-0.3752106602883746,5
-0.3784172816384032,2
-0.42155303317340226,4
-0.4540550487585402,8
-0.45896471599986477,6
-0.4955553161488555,7
-0.36160931277910763,3
-0.367319817750552,0
-0.37526535283114704,1
-0.3782684643907873,2
-0.38120446839064304,5
-0.4405692206921919,4
-0.446713594858965,6
-0.45573021006525816,8
-0.5046792732578367,7
-0.3781554983983454,0
-0.3821744550701701,3
-0.3840991523540507,1
-0.3868299439770294,5
-0.3882244841990234,2
-0.45432854267443407,6
-0.4567180762828964,4
-0.4742206083217264,8
-0.5094808885971002,7
-0.38636197959339313,5
-0.39071482226331744,2
-0.3938916769018632,3
-0.399025465709894,0
-0.4013063881654373,1
-0.46495056490783154,6
-0.4749326821679466,4
-0.4910185518990686,8
-0.5078045338347412,7
-0.38154033878737903,5
-0.3846831876074467,2
-0.3915199258572753,3
-0.4296307455943279,1
-0.4312551577395547,0
-0.47759397905093326,6
-0.49472586433577415,4
-0.4980863176996314,7
-0.49875062329984926,8
-0.3741452471434662,2
-0.37588916189526345,5
-0.37750870008495047,3
-0.4731100731012715,0
-0.47610858848964427,8
-0.47810796687452206,1
-0.4806624229742146,7
-0.49564555651127096,6
-0.5097942461417682,4
-0.30824654698042,1
-0.3395875035104202,0
-0.3612386349001586,3
-0.36488749332439996,2
-0.3711825140834838,5
-0.4223412154401724,8
-0.4567132080469387,7
-0.4770591730848296,4
-0.5176428134969485,6
-0.3243676331585599,1
-0.34462171460829805,4
-0.3448339730585438,3
-0.3599023497087088,2
-0.36638811846108227,8
-0.36726414057597,6
-0.3695863408226989,5
-0.37760906417055096,0
-0.4288017635701671,7
-0.34479751653809915,3
-0.3608337264869083,2
-0.3722761682895875,5
-0.3827867303478672,8
-0.3910461883684077,0
-0.40192644294667823,7
-0.46628447840890286,4
-0.5163992997462982,6
-0.5274860326058981,1
-0.23877821395804286,0
-0.3503676656177094,3
-0.3676799855348375,2
-0.37986984920401756,5
-0.38241507520336476,7
-0.3892603962731671,1
-0.47709322260759657,6
-0.4856864459550456,4
-0.4866728945368355,8
-0.2909261652378755,0
-0.3585618141408503,3
-0.3694569849031367,7
-0.37671401420187695,2
-0.38910354357287,5
-0.41393732445770576,6
-0.4335215913163524,1
-0.45382326984598287,8
-0.4940263594586241,4
-0.3452099026956972,0
-0.3635557928937977,7
