Método,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
DA-PSO,50,23:49:15.036838,2024-03-01,23:49:23.170762,0:00:08.133924
Índice de similitud,Ranking
1.0,9
1.284,8
1.311,7
1.388,6
1.4889999999999999,5
1.524,4
1.887,3
2.299,2
3.082,1
1.4,8
1.5390000000000001,2
1.7389999999999999,6
1.8599999999999999,7
2.035,4
2.0540000000000003,1
2.091,3
2.096,5
2.44,9
1.416,8
1.5430000000000001,2
1.7650000000000001,6
1.888,7
2.068,4
2.0940000000000003,1
2.134,3
2.145,5
2.182,9
1.438,8
1.569,2
1.799,6
1.939,7
1.9969999999999999,4
2.009,1
2.1799999999999997,9
2.185,3
2.198,5
1.442,8
1.5819999999999999,2
1.806,6
1.9689999999999999,7
2.043,1
2.0629999999999997,4
2.0789999999999997,9
2.191,3
2.207,5
1.451,8
1.608,2
1.821,6
1.98,1
2.0140000000000002,4
2.018,7
2.154,9
2.205,3
2.226,5
1.464,8
1.6480000000000001,2
1.8439999999999999,6
1.995,1
2.0780000000000003,4
2.085,7
2.096,9
2.129,5
2.224,3
1.4729999999999999,8
1.693,2
1.8599999999999999,6
1.9889999999999999,1
2.069,5
2.0709999999999997,9
2.12,4
2.15,7
2.224,3
1.467,8
1.72,2
1.756,1
1.8479999999999999,6
2.064,3
2.083,4
2.101,5
2.173,9
2.176,7
1.396,8
1.709,2
1.734,6
1.8639999999999999,5
1.982,3
2.0069999999999997,1
2.1310000000000002,7
2.149,9
2.291,4
1.45,8
1.553,6
1.658,2
1.871,5
1.9649999999999999,1
2.0149999999999997,7
2.026,4
2.1959999999999997,9
2.291,3
1.482,8
1.6560000000000001,6
1.734,2
1.839,1
1.916,5
2.0780000000000003,7
2.193,3
2.209,9
2.276,4
1.5070000000000001,8
1.79,6
1.835,2
1.847,5
1.9220000000000002,3
2.089,1
2.125,9
2.127,7
2.173,4
1.0,9
1.436,3
1.562,8
1.936,6
1.944,1
2.0,2
2.049,4
2.064,5
2.214,7
1.479,1
1.483,8
1.553,4
1.665,5
1.829,6
1.917,2
1.946,9
1.9689999999999999,7
2.318,3
1.3820000000000001,1
1.434,5
1.437,8
1.641,9
1.768,6
1.7930000000000001,7
1.854,2
2.0700000000000003,3
2.498,4
1.358,5
1.4969999999999999,8
1.603,1
1.6059999999999999,9
1.847,7
1.8940000000000001,6
1.978,2
2.1479999999999997,3
2.487,4
1.52,8
1.5899999999999999,9
1.764,1
1.859,5
1.889,7
1.947,6
2.01,2
2.122,3
2.359,4
1.541,8
1.829,1
1.877,9
1.9,5
1.937,7
1.986,6
2.035,2
2.0789999999999997,3
2.253,4
1.575,8
1.9020000000000001,1
1.927,9
1.9300000000000002,5
2.008,7
2.0389999999999997,3
2.041,6
2.08,2
2.168,4
1.597,8
1.9409999999999998,5
1.9529999999999998,9
1.959,1
1.982,3
2.044,4
2.0620000000000003,7
2.077,6
2.101,2
1.607,8
1.884,4
1.911,3
1.96,5
1.976,9
2.0069999999999997,1
2.091,6
2.093,7
2.099,2
1.609,8
1.7269999999999999,4
1.858,3
1.99,5
2.003,9
2.0469999999999997,1
2.097,2
2.1,6
2.1100000000000003,7
1.603,8
1.617,4
1.83,3
2.0149999999999997,5
2.024,9
2.075,1
2.082,2
2.099,6
2.1180000000000003,7
1.599,8
1.62,4
1.837,3
2.0389999999999997,5
2.058,9
2.066,2
2.092,1
2.101,6
2.129,7
1.583,8
1.6989999999999998,4
1.857,3
2.034,2
2.037,5
2.067,9
2.0789999999999997,6
2.082,1
2.113,7
1.573,8
1.788,4
1.9020000000000001,3
2.013,2
2.0460000000000003,5
2.0700000000000003,6
2.0860000000000003,1
2.0860000000000003,9
2.1100000000000003,7
1.5699999999999998,8
1.861,4
1.943,3
2.002,2
2.051,5
2.06,6
2.088,1
2.1020000000000003,9
2.112,7
1.5590000000000002,8
1.912,4
1.97,3
1.98,2
2.041,6
2.042,5
2.076,1
2.0940000000000003,9
2.1,7
1.556,8
1.97,4
1.971,2
2.008,3
2.033,6
2.045,5
2.077,1
2.097,9
2.1029999999999998,7
1.544,8
1.96,2
1.9969999999999999,4
2.013,6
2.02,3
2.034,5
2.067,1
2.085,9
2.093,7
1.546,8
1.959,2
2.003,6
2.02,4
2.032,5
2.043,3
2.066,1
2.0860000000000003,9
2.0940000000000003,7
1.546,8
1.9569999999999999,2
1.9929999999999999,6
2.0309999999999997,5
2.043,4
2.053,3
2.064,1
2.0860000000000003,9
2.0940000000000003,7
1.548,8
1.959,2
1.9849999999999999,6
2.0309999999999997,5
2.0549999999999997,4
2.064,1
2.064,3
2.088,9
2.0949999999999998,7
1.549,8
1.959,2
1.974,6
2.029,5
2.064,1
2.066,4
2.074,3
2.088,9
2.0949999999999998,7
1.545,8
1.951,2
1.964,6
2.018,5
2.053,1
2.065,4
2.073,3
2.0780000000000003,9
2.084,7
1.545,8
1.95,2
1.964,6
2.017,5
2.052,1
2.076,4
2.077,9
2.083,3
2.083,7
1.546,8
1.95,2
1.964,6
2.017,5
2.053,1
2.077,4
2.0780000000000003,9
2.084,3
2.084,7
1.546,8
1.95,2
1.964,6
2.018,5
2.053,1
2.077,4
2.0780000000000003,9
2.084,3
2.084,7
1.5470000000000002,8
1.9489999999999998,2
1.964,6
2.018,5
2.053,1
2.077,4
2.0780000000000003,9
2.084,3
2.084,7
1.5470000000000002,8
1.9489999999999998,2
1.963,6
2.017,5
2.053,1
2.076,4
2.077,9
2.083,3
2.083,7
1.548,8
1.9489999999999998,2
1.963,6
2.018,5
2.053,1
2.077,4
2.0780000000000003,9
2.084,3
2.084,7
1.548,8
1.9489999999999998,2
1.963,6
2.017,5
2.052,1
2.077,4
2.0780000000000003,9
2.084,3
2.084,7
1.549,8
1.9489999999999998,2
1.963,6
2.017,5
2.053,1
2.077,4
2.0780000000000003,9
2.084,3
2.084,7
1.549,8
1.9489999999999998,2
1.963,6
2.017,5
2.053,1
2.077,4
2.0780000000000003,9
2.084,3
2.084,7
1.549,8
1.948,2
1.963,6
2.018,5
2.053,1
2.077,4
2.0780000000000003,9
2.084,3
2.084,7
1.549,8
1.9489999999999998,2
1.963,6
2.018,5
2.053,1
2.077,4
2.0789999999999997,9
2.084,3
2.085,7
1.549,8
1.948,2
1.962,6
2.017,5
2.052,1
2.077,4
2.0780000000000003,9
2.084,3
2.084,7
1.549,8
1.9489999999999998,2
1.962,6
2.017,5
2.052,1
2.077,4
2.0789999999999997,9
2.084,3
2.085,7
1.549,8
1.948,2
1.962,6
2.017,5
2.052,1
2.077,4
2.0780000000000003,9
2.084,3
2.084,7
0
9.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
9.0
1.0
1.0
5.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
w(inertia),c1,c2,No. de iteraciones
0.7,2.5,2.5,50
0
0.123
0.099
0.043
0.343
0.392
8
0.083
0.083
0.066
0.051
0.0
7
0.079
0.079
0.066
0.035
0.002
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
C1,C2,C3,C4,C5
0.745,0.211,0.382,0.414,0.613
0.584,0.059,0.167,0.126,0.359
0.647,0.982,0.545,0.678,0.468
0.003,0.816,0.621,0.824,0.731
0.987,0.496,0.221,0.719,0.521
0.476,0.791,0.585,0.285,0.396
0.696,0.003,0.486,0.704,0.473
0.534,0.963,0.169,0.32,0.082
0.211,0.882,0.812,0.996,0.968
0.528,0.155,0.267,0.287,0.428
0.415,0.047,0.117,0.086,0.251
0.458,0.693,0.382,0.472,0.327
0.006,0.575,0.435,0.576,0.512
0.694,0.351,0.154,0.5,0.365
0.336,0.556,0.409,0.199,0.277
0.489,0.004,0.34,0.493,0.331
0.375,0.675,0.118,0.225,0.057
0.148,0.617,0.568,0.697,0.678
0.271,0.084,0.142,0.171,0.297
0.214,0.029,0.063,0.049,0.174
0.139,0.209,0.141,0.225,0.227
0.005,0.173,0.161,0.277,0.356
0.207,0.106,0.056,0.238,0.254
0.101,0.166,0.151,0.095,0.193
0.145,0.002,0.126,0.238,0.23
0.111,0.199,0.044,0.109,0.04
0.043,0.181,0.21,0.337,0.471
-0.018,0.0,0.008,0.053,0.203
-0.014,0.005,0.004,0.012,0.119
-0.045,-0.071,-0.011,0.064,0.156
0.004,-0.059,-0.012,0.082,0.245
-0.073,-0.035,-0.005,0.067,0.175
-0.035,-0.059,-0.012,0.027,0.133
-0.053,0.001,-0.009,0.071,0.158
-0.041,-0.075,-0.003,0.033,0.028
-0.008,-0.032,0.019,0.169,0.326
-0.161,-0.041,-0.064,-0.012,0.138
-0.123,-0.008,-0.028,-0.01,0.08
-0.127,-0.195,-0.09,-0.034,0.106
0.003,-0.174,-0.104,-0.026,0.168
-0.197,-0.098,-0.037,-0.036,0.119
-0.095,-0.158,-0.097,-0.015,0.09
-0.14,-0.0,-0.08,-0.031,0.107
-0.108,-0.195,-0.028,-0.013,0.019
