Método,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
DA-PSO,50,23:48:18.136715,2024-03-01,23:48:26.710413,0:00:08.573698
Índice de similitud,Ranking
1.0,9
1.284,8
1.311,7
1.388,6
1.4889999999999999,5
1.524,4
1.887,3
2.299,2
3.082,1
1.389,4
1.5150000000000001,7
1.629,3
1.7930000000000001,9
1.803,5
1.916,8
2.0389999999999997,6
2.185,2
2.459,1
1.3940000000000001,4
1.54,7
1.587,3
1.776,5
1.845,9
1.9769999999999999,8
2.018,6
2.327,1
2.331,2
1.408,4
1.5590000000000002,7
1.6,3
1.8399999999999999,5
1.874,9
1.9100000000000001,8
2.106,6
2.169,2
2.3209999999999997,1
1.422,4
1.564,7
1.6360000000000001,3
1.779,9
1.875,5
1.946,8
2.045,6
2.2190000000000003,2
2.31,1
1.444,4
1.5779999999999998,7
1.666,3
1.7810000000000001,9
1.8900000000000001,8
1.915,5
2.0869999999999997,6
2.108,2
2.3890000000000002,1
1.4729999999999999,4
1.591,7
1.681,3
1.774,9
1.929,8
1.956,5
2.0789999999999997,2
2.133,6
2.295,1
1.5230000000000001,4
1.625,7
1.688,9
1.706,3
1.8599999999999999,2
2.0229999999999997,8
2.028,5
2.2279999999999998,6
2.2729999999999997,1
1.495,4
1.563,7
1.6099999999999999,3
1.857,9
1.944,5
1.999,8
2.1180000000000003,2
2.1630000000000003,6
2.218,1
1.434,4
1.492,7
1.5190000000000001,3
1.87,5
1.8820000000000001,9
2.045,2
2.1029999999999998,1
2.21,6
2.214,8
1.616,3
1.625,4
1.671,7
1.728,9
1.917,8
1.968,6
1.982,5
2.134,2
2.279,1
1.0,3
1.7229999999999999,9
1.724,4
1.764,7
2.003,2
2.042,5
2.065,8
2.101,6
2.1029999999999998,1
1.373,3
1.6989999999999998,4
1.742,7
1.924,5
1.951,9
2.0549999999999997,8
2.067,6
2.143,1
2.261,2
1.6480000000000001,4
1.693,3
1.744,7
1.815,5
1.857,1
1.955,9
2.0860000000000003,2
2.089,6
2.112,8
1.558,3
1.5590000000000002,1
1.653,7
1.857,9
1.95,6
1.955,5
2.005,8
2.081,4
2.26,2
1.411,3
1.705,7
1.8050000000000002,5
1.8319999999999999,9
1.846,6
1.939,8
2.035,2
2.042,4
2.372,1
1.51,3
1.633,5
1.7309999999999999,6
1.759,9
1.768,7
1.859,8
1.8980000000000001,4
2.226,2
2.372,1
1.49,3
1.536,5
1.762,4
1.8,6
1.835,9
1.954,7
1.978,8
2.189,2
2.3129999999999997,1
1.0,2
1.38,3
1.83,6
1.838,1
1.8519999999999999,5
1.96,9
1.995,7
2.008,8
2.113,4
1.5350000000000001,3
1.748,5
1.78,6
1.892,4
1.895,7
1.919,8
1.919,9
2.277,1
2.346,2
1.529,3
1.771,5
1.879,4
1.9060000000000001,6
1.984,7
2.032,8
2.058,9
2.206,1
2.261,2
1.423,3
1.7149999999999999,5
1.871,2
1.987,6
2.0220000000000002,7
2.076,1
2.099,8
2.1180000000000003,4
2.124,9
1.6059999999999999,3
1.771,1
1.889,7
1.8940000000000001,6
1.9100000000000001,4
1.919,5
1.979,8
1.9929999999999999,9
2.384,2
1.557,3
1.8159999999999998,4
1.921,7
1.923,5
1.96,6
2.036,8
2.037,9
2.0709999999999997,1
2.241,2
1.435,3
1.915,5
1.927,2
1.9569999999999999,7
2.0220000000000002,6
2.061,1
2.072,4
2.08,9
2.0949999999999998,8
1.642,3
1.768,5
1.874,7
1.889,1
1.907,4
1.946,6
1.984,9
2.0140000000000002,8
2.393,2
1.0,1
1.612,3
1.733,5
1.841,4
1.9529999999999998,7
2.0389999999999997,6
2.0709999999999997,9
2.12,8
2.308,2
1.438,3
1.549,5
1.911,2
1.9300000000000002,7
2.018,6
2.0389999999999997,9
2.05,4
2.1020000000000003,8
2.207,1
1.624,5
1.655,3
1.8439999999999999,7
1.88,4
1.928,6
1.9409999999999998,9
2.008,8
2.05,1
2.375,2
1.6179999999999999,3
1.794,5
1.812,4
1.9260000000000002,7
2.019,6
2.0300000000000002,9
2.0380000000000003,1
2.112,8
2.2880000000000003,2
1.451,3
1.8399999999999999,5
1.916,7
1.928,2
2.0069999999999997,6
2.021,9
2.0300000000000002,4
2.1029999999999998,8
2.2560000000000002,1
1.651,3
1.8010000000000002,5
1.847,7
1.873,4
1.931,6
1.942,9
2.019,8
2.081,1
2.354,2
1.609,3
1.802,4
1.888,5
1.925,7
2.017,6
2.02,1
2.0309999999999997,9
2.106,8
2.269,2
1.442,3
1.8860000000000001,5
1.917,7
1.92,2
2.0069999999999997,6
2.019,4
2.0229999999999997,9
2.091,8
2.2649999999999997,1
1.65,3
1.8239999999999998,5
1.851,7
1.87,4
1.9340000000000002,6
1.95,9
2.0069999999999997,8
2.08,1
2.3529999999999998,2
1.609,3
1.798,4
1.896,5
1.929,7
1.994,1
2.019,6
2.0380000000000003,9
2.0940000000000003,8
2.271,2
1.443,3
1.884,5
1.924,2
1.924,7
2.012,6
2.024,4
2.032,9
2.081,8
2.267,1
1.651,3
1.813,5
1.8559999999999999,7
1.874,4
1.937,6
1.9569999999999999,9
1.998,8
2.08,1
2.3600000000000003,2
1.615,3
1.804,4
1.881,5
1.936,7
1.9929999999999999,1
2.024,6
2.0460000000000003,9
2.088,8
2.279,2
1.448,3
1.871,5
1.928,2
1.928,7
2.0149999999999997,6
2.027,4
2.037,9
2.0780000000000003,8
2.271,1
1.657,3
1.802,5
1.857,7
1.8719999999999999,4
1.937,6
1.956,9
1.995,8
2.0789999999999997,1
2.3600000000000003,2
1.62,3
1.8010000000000002,4
1.874,5
1.936,7
1.992,1
2.0229999999999997,6
2.045,9
2.0869999999999997,8
2.279,2
1.453,3
1.866,5
1.9300000000000002,2
1.9300000000000002,7
2.016,6
2.027,4
2.0380000000000003,9
2.0789999999999997,8
2.2729999999999997,1
1.666,3
1.8,5
1.858,7
1.873,4
1.938,6
1.959,9
1.996,8
2.082,1
2.362,2
1.627,3
1.8010000000000002,4
1.873,5
1.936,7
1.992,1
2.0229999999999997,6
2.0460000000000003,9
2.0869999999999997,8
2.279,2
1.457,3
1.866,5
1.929,2
1.929,7
2.0149999999999997,6
2.027,4
2.0380000000000003,9
2.0789999999999997,8
2.2729999999999997,1
1.6720000000000002,3
1.799,5
1.857,7
1.8719999999999999,4
1.937,6
1.9569999999999999,9
1.996,8
2.081,1
2.3609999999999998,2
1.634,3
1.8010000000000002,4
1.873,5
1.935,7
1.9929999999999999,1
2.024,6
2.045,9
2.088,8
2.2800000000000002,2
1.462,3
1.865,5
1.9260000000000002,7
1.9300000000000002,2
2.016,6
2.026,4
2.0380000000000003,9
2.0789999999999997,8
2.2720000000000002,1
1.679,3
1.798,5
1.855,7
1.871,4
1.937,6
1.958,9
1.995,8
2.081,1
2.3609999999999998,2
0
9.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
3.0
3.0
3.0
4.0
3.0
3.0
3.0
3.0
2.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
1.0
3.0
5.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
w(inertia),c1,c2,No. de iteraciones
0.7,2.5,2.5,50
0
0.123
0.099
0.043
0.343
0.392
8
0.083
0.083
0.066
0.051
0.0
7
0.079
0.079
0.066
0.035
0.002
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
C1,C2,C3,C4,C5
0.763,0.252,0.992,0.684,0.914
0.874,0.881,0.462,0.361,0.794
0.948,0.742,0.463,0.947,0.056
0.861,0.098,0.915,0.019,0.268
0.942,0.076,0.038,0.95,0.271
0.106,0.336,0.983,0.932,0.581
0.945,0.247,0.935,0.104,0.293
0.214,0.058,0.159,0.711,0.702
0.906,0.482,0.315,0.177,0.627
0.541,0.184,0.694,0.476,0.639
0.618,0.623,0.323,0.25,0.556
0.669,0.525,0.324,0.661,0.039
0.607,0.073,0.641,0.013,0.188
0.663,0.057,0.026,0.662,0.19
0.077,0.238,0.688,0.652,0.407
0.663,0.174,0.654,0.073,0.205
0.151,0.041,0.111,0.499,0.491
0.634,0.337,0.22,0.124,0.439
0.275,0.095,0.37,0.289,0.443
0.312,0.315,0.172,0.151,0.386
0.337,0.265,0.173,0.403,0.027
0.305,0.037,0.343,0.008,0.131
0.195,0.016,0.008,0.319,0.132
0.021,0.068,0.254,0.316,0.283
0.193,0.049,0.241,0.036,0.142
0.041,0.009,0.041,0.244,0.341
0.183,0.095,0.081,0.061,0.305
0.034,0.014,0.137,0.133,0.306
-0.028,-0.028,0.01,0.049,0.265
0.09,0.03,0.039,0.217,0.018
-0.03,-0.004,0.103,0.003,0.09
-0.034,-0.004,-0.001,0.158,0.091
-0.006,-0.015,0.056,0.156,0.195
-0.077,-0.022,-0.019,0.012,0.098
-0.021,-0.009,-0.004,0.077,0.235
-0.075,-0.043,-0.007,0.019,0.21
-0.141,-0.045,-0.048,0.012,0.21
-0.196,-0.197,-0.077,-0.007,0.182
-0.119,-0.146,-0.068,0.087,0.012
-0.189,-0.023,-0.083,-0.0,0.061
