Método,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
DA-PSO,50,11:10:35.421518,2024-03-02,11:10:43.262278,0:00:07.840760
Índice de similitud,Ranking
1.0,9
1.284,8
1.311,7
1.388,6
1.4889999999999999,5
1.524,4
1.887,3
2.299,2
3.082,1
1.347,7
1.5070000000000001,3
1.525,8
1.772,9
1.8860000000000001,4
1.887,5
2.021,6
2.053,2
2.44,1
1.375,7
1.522,3
1.562,8
1.831,9
1.854,4
1.9529999999999998,5
1.99,2
2.106,6
2.303,1
1.3980000000000001,7
1.5590000000000002,3
1.603,8
1.838,4
1.8900000000000001,9
1.987,6
2.012,5
2.033,2
2.3280000000000003,1
1.389,7
1.5470000000000002,3
1.6059999999999999,8
1.863,4
1.8900000000000001,9
1.9889999999999999,5
1.998,6
2.075,2
2.267,1
1.395,7
1.557,3
1.649,8
1.806,4
1.924,6
1.932,9
2.0060000000000002,5
2.1479999999999997,2
2.371,1
1.397,7
1.558,3
1.692,8
1.8239999999999998,4
1.932,6
1.9769999999999999,9
2.009,5
2.189,2
2.2809999999999997,1
1.395,7
1.548,3
1.733,8
1.815,4
1.927,6
2.009,5
2.0309999999999997,9
2.197,2
2.252,1
1.3820000000000001,7
1.51,3
1.667,4
1.835,8
1.847,6
1.936,1
1.9969999999999999,5
2.1879999999999997,9
2.252,2
1.3820000000000001,7
1.553,3
1.662,8
1.881,2
1.931,6
1.972,9
2.0069999999999997,4
2.04,1
2.0540000000000003,5
1.0,1
1.411,7
1.538,3
1.741,8
1.752,2
1.896,6
1.974,4
2.13,5
2.133,9
1.0,1
1.38,7
1.513,3
1.729,8
1.741,4
1.796,6
2.0149999999999997,5
2.12,9
2.439,2
1.316,7
1.494,3
1.6800000000000002,8
1.917,5
1.9569999999999999,6
1.9849999999999999,1
2.021,9
2.151,2
2.189,4
1.303,7
1.413,3
1.803,8
1.8199999999999998,5
1.9649999999999999,1
2.028,2
2.099,6
2.1630000000000003,9
2.295,4
1.202,7
1.268,3
1.587,1
1.645,2
1.905,8
2.012,5
2.206,6
2.261,9
2.332,4
1.474,7
1.533,8
1.646,2
1.6560000000000001,3
1.705,6
1.714,9
1.732,5
1.733,4
2.775,1
1.306,2
1.522,7
1.573,8
1.6320000000000001,3
1.7389999999999999,9
1.7730000000000001,6
1.783,4
1.88,5
2.74,1
1.5,7
1.5310000000000001,3
1.5779999999999998,8
1.744,9
1.815,6
1.8239999999999998,4
1.935,5
2.226,2
2.377,1
1.467,3
1.483,7
1.615,8
1.792,9
1.899,6
1.925,4
1.976,2
2.0149999999999997,5
2.573,1
1.431,3
1.482,7
1.693,8
1.796,2
1.916,9
2.0380000000000003,6
2.069,4
2.153,5
2.427,1
1.4020000000000001,3
1.468,7
1.724,2
1.758,8
2.02,9
2.149,6
2.183,1
2.185,4
2.2640000000000002,5
1.38,3
1.426,7
1.733,2
1.763,8
2.04,9
2.167,6
2.201,4
2.271,5
2.362,1
1.399,3
1.414,7
1.7850000000000001,2
1.798,8
2.098,9
2.214,6
2.251,1
2.251,4
2.318,5
1.41,7
1.43,3
1.811,8
1.822,2
2.057,1
2.127,9
2.232,6
2.269,4
2.331,5
1.3940000000000001,7
1.439,3
1.7810000000000001,8
1.807,2
2.093,9
2.1799999999999997,6
2.209,4
2.271,5
2.3049999999999997,1
1.405,7
1.465,3
1.7930000000000001,8
1.8359999999999999,2
2.117,9
2.193,6
2.2119999999999997,4
2.2270000000000003,1
2.2809999999999997,5
1.419,7
1.487,3
1.803,8
1.854,2
2.099,1
2.133,9
2.2030000000000003,6
2.213,4
2.2880000000000003,5
1.417,7
1.486,3
1.775,8
1.833,2
2.097,9
2.162,6
2.166,4
2.2430000000000003,5
2.33,1
1.433,7
1.5070000000000001,3
1.783,8
1.842,2
2.107,9
2.168,4
2.1719999999999997,6
2.248,5
2.258,1
1.45,7
1.524,3
1.79,8
1.857,2
2.113,9
2.138,1
2.167,4
2.1799999999999997,6
2.251,5
1.464,7
1.54,3
1.726,1
1.7930000000000001,8
1.8679999999999999,2
2.115,9
2.162,4
2.183,6
2.255,5
1.453,7
1.5310000000000001,3
1.7610000000000001,8
1.841,2
2.0700000000000003,9
2.115,4
2.137,6
2.205,5
2.3609999999999998,1
1.465,7
1.549,3
1.764,8
1.8559999999999999,2
2.074,9
2.128,4
2.142,6
2.2110000000000003,5
2.306,1
1.4769999999999999,7
1.563,3
1.7730000000000001,8
1.871,2
2.0860000000000003,9
2.141,4
2.154,6
2.2190000000000003,1
2.225,5
1.484,7
1.571,3
1.775,8
1.876,2
2.0700000000000003,1
2.0869999999999997,9
2.152,4
2.158,6
2.2270000000000003,5
1.4889999999999999,7
1.577,3
1.776,8
1.807,1
1.879,2
2.091,9
2.152,6
2.154,4
2.231,5
1.4929999999999999,7
1.581,3
1.776,8
1.8780000000000001,1
1.879,2
2.091,9
2.143,6
2.154,4
2.23,5
1.494,7
1.583,3
1.7730000000000001,8
1.877,2
2.06,1
2.0860000000000003,9
2.13,6
2.15,4
2.226,5
1.496,7
1.5859999999999999,3
1.768,8
1.874,2
2.082,9
2.126,6
2.145,4
2.146,1
2.221,5
1.498,7
1.588,3
1.766,8
1.871,2
2.0780000000000003,9
2.122,6
2.142,4
2.194,1
2.217,5
1.501,7
1.591,3
1.763,8
1.869,2
2.075,9
2.1189999999999998,6
2.1390000000000002,4
2.214,5
2.222,1
1.5030000000000001,7
1.5939999999999999,3
1.7610000000000001,8
1.8679999999999999,2
2.073,9
2.117,6
2.137,4
2.213,5
2.238,1
1.5070000000000001,7
1.5979999999999999,3
1.758,8
1.866,2
2.0709999999999997,9
2.115,6
2.134,4
2.209,5
2.2430000000000003,1
1.51,7
1.6019999999999999,3
1.7570000000000001,8
1.866,2
2.0709999999999997,9
2.116,6
2.135,4
2.21,5
2.247,1
1.513,7
1.6059999999999999,3
1.755,8
1.865,2
2.0700000000000003,9
2.115,6
2.134,4
2.209,5
2.246,1
1.518,7
1.6099999999999999,3
1.7530000000000001,8
1.865,2
2.069,9
2.114,6
2.133,4
2.209,5
2.2430000000000003,1
1.521,7
1.6139999999999999,3
1.752,8
1.8639999999999999,2
2.068,9
2.114,6
2.133,4
2.208,5
2.241,1
1.525,7
1.62,3
1.752,8
1.8639999999999999,2
2.0700000000000003,9
2.115,6
2.135,4
2.2110000000000003,5
2.241,1
1.53,7
1.624,3
1.749,8
1.863,2
2.069,9
2.114,6
2.134,4
2.2110000000000003,5
2.238,1
1.534,7
1.629,3
1.748,8
1.862,2
2.069,9
2.115,6
2.135,4
2.2110000000000003,5
2.237,1
0
9.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
1.0
1.0
7.0
7.0
7.0
7.0
2.0
7.0
3.0
3.0
3.0
3.0
3.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
w(inertia),c1,c2,No. de iteraciones
0.7,2.5,2.5,50
0
0.123
0.099
0.043
0.343
0.392
8
0.083
0.083
0.066
0.051
0.0
7
0.079
0.079
0.066
0.035
0.002
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
C1,C2,C3,C4,C5
0.58,0.258,0.306,0.641,0.995
0.947,0.806,0.848,0.979,0.174
0.945,0.565,0.261,0.673,0.033
0.756,0.661,0.023,0.161,0.851
0.631,0.251,0.929,0.361,0.472
0.641,0.228,0.4,0.343,0.825
0.718,0.354,0.118,0.726,0.027
0.005,0.775,0.309,0.615,0.143
0.372,0.026,0.304,0.704,0.344
0.413,0.188,0.214,0.446,0.696
0.669,0.57,0.594,0.683,0.122
0.667,0.401,0.183,0.469,0.023
0.533,0.467,0.017,0.112,0.596
0.445,0.179,0.65,0.25,0.33
0.451,0.162,0.28,0.239,0.577
0.504,0.249,0.083,0.509,0.019
0.004,0.543,0.216,0.432,0.1
0.26,0.018,0.213,0.493,0.241
0.213,0.1,0.114,0.27,0.483
0.341,0.291,0.318,0.415,0.085
0.339,0.205,0.098,0.285,0.016
0.16,0.14,0.007,0.053,0.414
0.133,0.055,0.24,0.118,0.229
0.134,0.049,0.104,0.115,0.401
0.149,0.073,0.031,0.247,0.013
0.0,0.159,0.08,0.211,0.069
0.075,0.004,0.079,0.239,0.168
0.031,0.019,0.025,0.123,0.334
0.096,0.038,0.072,0.225,0.058
0.078,-0.015,0.006,0.095,0.011
-0.022,-0.019,0.001,0.022,0.286
-0.047,-0.017,-0.019,0.032,0.157
-0.049,-0.017,-0.008,0.034,0.276
-0.056,-0.028,-0.002,0.075,0.009
-0.002,-0.061,-0.006,0.066,0.047
-0.031,-0.004,-0.006,0.072,0.116
-0.109,-0.046,-0.046,-0.006,0.23
-0.115,-0.154,-0.041,0.092,0.039
-0.12,-0.121,-0.044,-0.022,0.007
-0.145,-0.127,-0.003,-0.002,0.196
-0.126,-0.049,-0.155,-0.02,0.106
-0.139,-0.049,-0.068,-0.011,0.189
-0.145,-0.072,-0.02,-0.03,0.006
-0.002,-0.157,-0.051,-0.023,0.032
