Método,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
DA-PSO,50,11:13:04.989470,2024-03-02,11:13:18.314871,0:00:13.325401
Índice de similitud,Ranking
1.0,9
1.284,8
1.311,7
1.388,6
1.4889999999999999,5
1.524,4
1.887,3
2.299,2
3.082,1
1.468,8
1.603,7
1.72,6
1.728,3
1.736,9
1.795,1
2.122,2
2.206,4
2.385,5
1.494,8
1.6360000000000001,9
1.6440000000000001,7
1.733,6
1.748,1
1.7890000000000001,3
2.099,2
2.177,4
2.479,5
1.536,8
1.617,9
1.696,7
1.759,1
1.7810000000000001,6
1.8559999999999999,3
2.12,2
2.21,5
2.333,4
1.534,8
1.579,9
1.6840000000000002,7
1.745,1
1.766,6
1.8479999999999999,3
2.1639999999999997,2
2.248,5
2.35,4
1.554,8
1.623,9
1.689,7
1.762,1
1.78,6
1.863,3
2.089,2
2.17,5
2.426,4
1.584,8
1.6,9
1.694,7
1.72,6
1.786,1
1.881,3
2.126,2
2.239,5
2.511,4
1.5899999999999999,9
1.617,8
1.674,6
1.675,7
1.798,1
1.873,3
2.1189999999999998,2
2.301,5
2.569,4
1.514,7
1.546,9
1.667,8
1.6909999999999998,6
1.7389999999999999,3
1.802,1
1.917,2
2.3970000000000002,5
2.613,4
1.558,8
1.604,1
1.732,3
1.744,7
1.764,6
1.768,9
2.143,5
2.2190000000000003,2
2.229,4
1.577,1
1.626,8
1.718,7
1.746,6
1.8199999999999998,9
2.01,3
2.032,5
2.049,2
2.177,4
1.4849999999999999,1
1.562,7
1.5859999999999999,2
1.709,8
1.879,9
1.976,4
2.001,3
2.032,6
2.4,5
1.638,8
1.677,1
1.718,3
1.745,4
1.746,7
1.752,9
1.854,6
2.1470000000000002,5
2.2640000000000002,2
1.584,3
1.696,7
1.7650000000000001,8
1.78,1
1.869,6
1.9180000000000001,9
1.954,4
2.2,5
2.23,2
1.521,7
1.796,3
1.818,1
1.8479999999999999,8
1.873,6
1.892,4
1.933,2
2.1390000000000002,9
2.167,5
1.434,4
1.674,7
1.708,1
1.772,8
1.814,3
1.8519999999999999,6
1.932,5
2.158,9
2.174,2
1.514,7
1.603,1
1.687,8
1.759,5
1.766,3
1.903,6
2.098,9
2.114,2
2.716,4
1.444,7
1.643,1
1.7429999999999999,8
1.798,5
1.838,3
1.929,2
2.08,6
2.245,9
2.7359999999999998,4
1.597,1
1.63,7
1.675,8
1.751,5
1.774,3
2.033,6
2.149,9
2.248,2
2.456,4
1.629,7
1.657,1
1.717,8
1.854,3
1.859,5
2.128,6
2.168,2
2.223,9
2.377,4
1.5470000000000002,7
1.72,1
1.759,8
1.9569999999999999,3
1.966,5
1.967,2
2.214,6
2.2880000000000003,9
2.303,4
1.667,1
1.683,8
1.7570000000000001,7
1.896,3
1.911,5
2.048,4
2.097,6
2.152,9
2.295,2
1.714,7
1.7149999999999999,8
1.716,1
1.966,3
1.996,4
1.9969999999999999,5
2.145,6
2.19,9
2.1959999999999997,2
1.5979999999999999,7
1.756,8
1.764,1
1.982,4
1.992,2
2.037,3
2.082,5
2.2030000000000003,6
2.246,9
1.682,8
1.6909999999999998,1
1.8050000000000002,7
1.855,4
1.937,3
1.99,5
2.0780000000000003,6
2.113,9
2.3280000000000003,2
1.72,8
1.7269999999999999,1
1.744,7
1.892,4
1.987,3
2.057,5
2.13,6
2.1630000000000003,9
2.225,2
1.626,7
1.751,8
1.7570000000000001,1
1.939,4
2.0300000000000002,3
2.035,2
2.115,5
2.177,6
2.209,9
1.353,7
1.585,2
1.776,8
1.783,1
1.999,4
2.0629999999999997,3
2.158,5
2.216,6
2.248,9
1.689,8
1.6949999999999998,1
1.7850000000000001,7
1.9140000000000001,4
1.94,3
2.021,5
2.0709999999999997,6
2.1029999999999998,9
2.303,2
1.717,8
1.7229999999999999,1
1.729,7
1.978,3
1.987,4
2.0620000000000003,5
2.107,6
2.1470000000000002,9
2.2110000000000003,2
1.646,7
1.746,8
1.751,1
2.016,3
2.053,4
2.0700000000000003,2
2.1020000000000003,5
2.141,6
2.193,9
1.524,7
1.77,8
1.774,1
1.866,2
2.0469999999999997,3
2.115,4
2.135,5
2.177,6
2.229,9
1.363,7
1.5979999999999999,2
1.78,8
1.7850000000000001,1
2.0620000000000003,3
2.146,5
2.15,4
2.192,6
2.246,9
1.383,7
1.629,2
1.783,8
1.787,1
2.064,3
2.158,5
2.1719999999999997,4
2.193,6
2.248,9
1.5110000000000001,7
1.7650000000000001,8
1.772,1
1.8359999999999999,2
2.041,3
2.1399999999999997,5
2.166,4
2.166,6
2.222,9
1.591,7
1.7570000000000001,8
1.764,1
1.9649999999999999,2
2.029,3
2.134,5
2.151,6
2.169,4
2.208,9
1.635,7
1.7429999999999999,8
1.75,1
2.0069999999999997,3
2.034,2
2.1189999999999998,5
2.128,6
2.157,4
2.185,9
1.667,7
1.737,8
1.746,1
1.999,3
2.082,2
2.117,6
2.1180000000000003,5
2.154,4
2.175,9
1.682,7
1.7269999999999999,8
1.736,1
1.9849999999999999,3
2.101,2
2.101,6
2.1100000000000003,5
2.1470000000000002,4
2.159,9
1.694,7
1.725,8
1.734,1
1.983,3
2.097,6
2.115,5
2.1189999999999998,2
2.15,4
2.1550000000000002,9
1.705,7
1.7269999999999999,8
1.736,1
1.983,3
2.098,6
2.115,5
2.134,2
2.15,4
2.1559999999999997,9
1.712,7
1.7269999999999999,8
1.736,1
1.983,3
2.097,6
2.114,5
2.133,2
2.15,4
2.1550000000000002,9
1.712,7
1.728,8
1.738,1
1.984,3
2.098,6
2.114,5
2.129,2
2.151,4
2.1559999999999997,9
1.71,7
1.729,8
1.7389999999999999,1
1.984,3
2.097,6
2.114,5
2.126,2
2.15,4
2.1559999999999997,9
1.712,7
1.73,8
1.74,1
1.984,3
2.098,6
2.115,5
2.125,2
2.153,4
2.157,9
1.7109999999999999,7
1.73,8
1.741,1
1.984,3
2.098,6
2.114,5
2.12,2
2.152,4
2.157,9
1.71,7
1.732,8
1.7429999999999999,1
1.9849999999999999,3
2.099,6
2.115,5
2.1180000000000003,2
2.153,4
2.158,9
1.709,7
1.7309999999999999,8
1.742,1
1.984,3
2.098,6
2.114,2
2.114,5
2.152,4
2.157,9
1.7109999999999999,7
1.732,8
1.744,1
1.983,3
2.099,6
2.114,2
2.114,5
2.153,4
2.157,9
1.712,7
1.732,8
1.744,1
1.983,3
2.099,6
2.114,2
2.114,5
2.153,4
2.158,9
0
9.0
8.0
8.0
8.0
8.0
8.0
8.0
9.0
7.0
8.0
1.0
1.0
8.0
3.0
7.0
4.0
7.0
7.0
1.0
7.0
7.0
1.0
7.0
7.0
8.0
8.0
7.0
7.0
8.0
8.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
w(inertia),c1,c2,No. de iteraciones
0.7,2.5,2.5,50
0
0.123
0.099
0.043
0.343
0.392
8
0.083
0.083
0.066
0.051
0.0
7
0.079
0.079
0.066
0.035
0.002
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
C1,C2,C3,C4,C5
0.865,0.662,0.088,0.273,0.061
0.715,0.499,0.686,0.21,0.825
0.86,0.472,0.706,0.192,0.278
0.971,0.189,0.654,0.962,0.419
0.247,0.287,0.697,0.872,0.834
0.525,0.792,0.381,0.085,0.524
0.885,0.939,0.156,0.514,0.099
0.479,0.114,0.412,0.299,0.129
0.6,0.776,0.035,0.031,0.939
0.612,0.471,0.061,0.188,0.042
0.506,0.355,0.48,0.144,0.577
0.607,0.336,0.494,0.132,0.194
0.684,0.136,0.458,0.673,0.293
0.176,0.204,0.487,0.607,0.584
0.37,0.557,0.267,0.059,0.367
0.621,0.659,0.109,0.36,0.069
0.336,0.081,0.288,0.211,0.09
0.42,0.543,0.025,0.022,0.657
0.314,0.243,0.032,0.111,0.028
0.259,0.184,0.257,0.084,0.401
0.309,0.173,0.264,0.077,0.135
0.205,0.043,0.17,0.324,0.204
0.054,0.063,0.18,0.29,0.406
0.111,0.166,0.099,0.027,0.255
0.184,0.195,0.04,0.174,0.048
0.099,0.024,0.107,0.102,0.063
0.123,0.159,0.009,0.009,0.457
0.043,0.035,0.006,0.047,0.018
0.035,0.028,0.058,0.035,0.277
-0.024,-0.011,0.016,0.022,0.093
-0.029,-0.002,0.016,0.16,0.14
-0.016,-0.019,-0.014,0.083,0.279
-0.039,-0.059,-0.007,0.006,0.175
-0.068,-0.072,-0.003,0.052,0.033
-0.037,-0.009,-0.008,0.031,0.043
-0.022,-0.028,0.001,0.002,0.316
-0.076,-0.124,-0.014,-0.008,0.011
-0.136,-0.093,-0.1,-0.007,0.19
-0.184,-0.099,-0.119,-0.011,0.063
-0.181,-0.033,-0.097,0.011,0.095
-0.051,-0.06,-0.118,-0.009,0.191
-0.105,-0.159,-0.063,-0.007,0.119
-0.178,-0.189,-0.026,-0.023,0.022
-0.097,-0.023,-0.068,-0.012,0.029
-0.119,-0.154,-0.005,-0.003,0.217
-0.181,-0.204,-0.024,-0.04,0.006
-0.193,-0.134,-0.168,-0.03,0.128
