Algoritmo,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
TOPSIS-PSO,10,16:54:06.903632,2024-03-12,16:54:10.032911,0:00:03.129279
Algoritmo,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
TOPSIS-PSO,10,16:54:06.903632,2024-03-12,16:54:10.032911,0:00:03.129279
Puntuación Global,Alternativa
0.10974122074398511,3
0.1368897148785883,4
0.1381307859708272,2
0.1527323181674522,5
0.17717128389484854,6
0.19773657873650632,7
0.2163173071645487,8
0.29892467201668355,1
0.7842969203218978,0
0.17675352651167012,2
0.3724714508206487,7
0.3929846138329654,1
0.4518230552728798,8
0.5628608184478988,4
0.564186804223539,0
0.607552164514676,6
0.7205021389560682,3
0.7276959126170078,5
0.1900341911394378,2
0.3201348711756621,7
0.38313138820078535,8
0.41429842915358134,1
0.5062499014619556,4
0.6207832713567301,6
0.6348062823925381,0
0.7356408435185732,5
0.7556719662418673,3
0.23922744931609677,2
0.32292697694706396,7
0.39628842923028057,8
0.4779915332884282,1
0.5923433297213152,4
0.6682641243586512,0
0.7122019745028074,6
0.7654754011349391,5
0.781197083830387,3
0.23579393946893717,2
0.34718759819617073,7
0.3642416842591238,8
0.4653283536259758,1
0.5977320900726122,4
0.6827023937390609,0
0.6900681397985885,6
0.7494218727369638,5
0.7725566393498884,3
0.25233080977564754,2
0.2874017114576302,7
0.39430899085574217,8
0.4443817087145245,1
0.6064004275946788,4
0.6587139382321653,0
0.668950517559072,6
0.6820721257641142,5
0.686955338528936,3
0.24421271288367166,2
0.2931141289214485,7
0.33537056638900853,8
0.3754107047003395,1
0.5703958157922595,3
0.5792348094901755,6
0.5834847146630919,5
0.6185471135911204,0
0.6488114163945685,4
0.21991344775017413,2
0.25164459183463167,1
0.2786895518097777,7
0.29351250901860676,8
0.3037084793426435,6
0.315705520359321,5
0.33131466505387036,3
0.46506424770279076,0
0.6992440467922996,4
0.2681050462931098,0
0.3184069541947223,2
0.3354945974383006,8
0.3673065405360205,7
0.4652138374438129,4
0.5836382632308076,6
0.5915573801788689,1
0.8613336550542355,5
0.8910243155890335,3
0.15123861365830826,4
0.2060663995340876,8
0.23821211001642856,2
0.2621165237287532,7
0.3659006339034853,5
0.39252720316411405,3
0.40377759273486674,6
0.4228512837030782,1
0.934837982298225,0
0
4.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
1.0
5.0
TOPSIS,TOPSISFIN
3,0.0
3,4.0
2,4.0
2,4.0
2,4.0
2,4.0
2,4.0
2,4.0
2,4.0
0,4.0
4,4.0
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
w(inertia),c1,c2,No. de iteraciones
0.7,2.5,2.5,10
0
0.4
0.2
0.03
0.07
0.3
0
0
1
2
3
4
3
0.062
0.062
0.063
0.058
0.007
4
0.066
0.066
0.07
0.085
0.004
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
C1,C2,C3,C4,C5
0.441,0.874,0.065,0.303,0.464
0.507,0.264,0.679,0.904,0.356
0.102,0.071,0.555,0.789,0.403
0.701,0.633,0.139,0.641,0.841
0.982,0.396,0.35,0.206,0.146
0.802,0.48,0.125,0.191,0.849
0.884,0.34,0.68,0.786,0.419
0.157,0.035,0.213,0.76,0.901
0.326,0.01,0.947,0.964,0.989
0.311,0.614,0.044,0.206,0.323
0.356,0.186,0.475,0.628,0.249
0.072,0.051,0.388,0.548,0.282
0.491,0.443,0.097,0.449,0.589
0.687,0.277,0.244,0.138,0.102
0.56,0.335,0.087,0.134,0.594
0.617,0.236,0.475,0.553,0.293
0.107,0.022,0.149,0.537,0.631
0.225,0.004,0.662,0.676,0.692
0.168,0.33,0.022,0.098,0.221
0.136,0.072,0.175,0.214,0.167
0.027,0.019,0.143,0.188,0.19
0.186,0.168,0.036,0.158,0.396
0.26,0.104,0.089,0.045,0.069
0.211,0.125,0.032,0.05,0.4
0.231,0.087,0.175,0.196,0.197
0.037,0.005,0.055,0.193,0.425
0.081,-0.003,0.243,0.237,0.466
0.014,0.026,-0.0,-0.013,0.144
-0.006,-0.003,-0.019,-0.061,0.109
-0.002,-0.001,-0.015,-0.052,0.125
-0.011,-0.01,-0.003,-0.037,0.261
0.059,0.008,0.003,-0.009,0.047
-0.014,-0.01,-0.003,-0.008,0.263
-0.017,-0.009,-0.019,-0.044,0.13
-0.001,-0.005,0.003,-0.011,0.29
0.002,-0.007,0.012,-0.023,0.318
-0.072,-0.075,-0.012,-0.071,0.09
-0.083,-0.043,-0.121,-0.201,0.069
-0.017,-0.012,-0.098,-0.174,0.079
-0.117,-0.105,-0.024,-0.138,0.178
-0.1,-0.061,-0.058,-0.044,0.03
-0.135,-0.082,-0.022,-0.038,0.18
-0.149,-0.06,-0.121,-0.168,0.083
-0.028,-0.01,-0.035,-0.15,0.195
-0.054,-0.007,-0.154,-0.197,0.215
-0.107,-0.151,-0.017,-0.088,0.052
-0.124,-0.064,-0.174,-0.265,0.042
-0.025,-0.018,-0.142,-0.23,0.049
-0.173,-0.156,-0.035,-0.185,0.115
-0.17,-0.089,-0.081,-0.054,0.018
-0.199,-0.12,-0.032,-0.052,0.116
-0.22,-0.087,-0.174,-0.226,0.051
-0.038,-0.011,-0.049,-0.195,0.123
-0.084,-0.007,-0.241,-0.28,0.143
-0.125,-0.191,-0.019,-0.092,0.029
-0.132,-0.068,-0.181,-0.254,0.023
-0.023,-0.016,-0.125,-0.187,0.026
-0.184,-0.166,-0.036,-0.178,0.073
-0.18,-0.089,-0.079,-0.048,0.01
-0.211,-0.127,-0.033,-0.051,0.073
-0.233,-0.091,-0.181,-0.218,0.028
-0.043,-0.011,-0.056,-0.207,0.078
-0.078,-0.005,-0.222,-0.238,0.088
-0.117,-0.187,-0.017,-0.075,0.012
-0.116,-0.06,-0.154,-0.192,0.009
-0.021,-0.015,-0.114,-0.151,0.011
-0.161,-0.146,-0.031,-0.135,0.043
-0.156,-0.075,-0.064,-0.035,0.004
-0.185,-0.111,-0.028,-0.039,0.043
-0.204,-0.079,-0.154,-0.166,0.012
-0.033,-0.008,-0.042,-0.142,0.045
-0.074,-0.004,-0.208,-0.198,0.054
-0.092,-0.154,-0.013,-0.047,0.0
-0.086,-0.044,-0.108,-0.161,-0.001
-0.017,-0.012,-0.086,-0.093,0.0
-0.119,-0.108,-0.022,-0.121,0.021
-0.117,-0.055,-0.045,-0.02,0.0
-0.136,-0.082,-0.02,-0.023,0.021
-0.15,-0.058,-0.108,-0.143,0.001
-0.027,-0.006,-0.034,-0.096,0.022
-0.059,-0.002,-0.162,-0.128,0.029
-0.061,-0.107,-0.007,-0.015,-0.007
-0.103,-0.021,-0.119,-0.079,-0.006
-0.01,-0.008,-0.037,-0.116,-0.006
-0.125,-0.118,-0.008,-0.065,0.007
-0.096,-0.045,-0.033,-0.008,-0.001
-0.136,-0.101,-0.007,-0.001,0.007
-0.146,-0.026,-0.119,-0.073,-0.005
-0.016,-0.005,-0.016,-0.112,0.007
-0.031,-0.002,-0.143,-0.139,0.013
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
0.359,0.661,0.114,0.293,0.513
0.409,0.238,0.541,0.709,0.307
0.129,0.108,0.454,0.624,0.304
0.553,0.505,0.16,0.507,0.596
0.753,0.343,0.314,0.223,0.106
0.63,0.406,0.153,0.192,0.597
0.692,0.311,0.541,0.6,0.295
0.186,0.101,0.215,0.572,0.633
0.308,0.087,0.728,0.727,0.692
0.527,0.991,0.136,0.391,0.734
0.545,0.31,0.716,0.923,0.474
0.156,0.127,0.597,0.812,0.494
0.739,0.673,0.196,0.665,0.992
0.8,0.447,0.403,0.268,0.175
0.841,0.531,0.185,0.242,0.997
0.923,0.398,0.716,0.796,0.492
0.223,0.106,0.27,0.765,0.8
0.389,0.084,0.971,0.964,0.8
0.541,0.8,0.136,0.378,0.878
0.539,0.307,0.697,0.862,0.583
0.154,0.126,0.582,0.76,0.619
0.728,0.663,0.193,0.628,0.8
0.859,0.455,0.406,0.259,0.222
0.827,0.521,0.182,0.234,0.8
0.906,0.389,0.697,0.752,0.622
