Método,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
DA-PSO,50,23:52:07.597641,2024-03-01,23:52:16.750320,0:00:09.152679
Índice de similitud,Ranking
1.0,9
1.284,8
1.311,7
1.388,6
1.4889999999999999,5
1.524,4
1.887,3
2.299,2
3.082,1
1.276,4
1.58,5
1.6280000000000001,6
1.736,3
1.851,2
1.95,8
2.168,7
2.173,1
2.192,9
1.284,4
1.6059999999999999,5
1.6600000000000001,6
1.705,3
1.9140000000000001,2
2.002,8
2.0229999999999997,1
2.238,7
2.2569999999999997,9
1.311,4
1.661,5
1.722,6
1.759,3
1.983,8
2.011,2
2.0629999999999997,1
2.1639999999999997,9
2.186,7
1.308,4
1.646,5
1.7149999999999999,6
1.788,3
1.984,8
2.0060000000000002,2
2.021,1
2.175,9
2.192,7
1.319,4
1.662,5
1.744,6
1.857,3
1.937,8
2.0540000000000003,2
2.104,9
2.129,7
2.133,1
1.322,4
1.654,5
1.763,6
1.896,3
1.931,8
2.084,2
2.0869999999999997,1
2.104,9
2.129,7
1.334,4
1.5859999999999999,5
1.759,8
1.83,6
1.927,9
1.9449999999999998,7
1.968,3
2.1550000000000002,1
2.1799999999999997,2
1.248,4
1.7029999999999998,6
1.709,5
1.772,3
1.85,1
1.9929999999999999,2
2.012,7
2.0780000000000003,8
2.326,9
1.383,4
1.5390000000000001,3
1.6019999999999999,5
1.689,6
1.834,8
1.942,2
1.976,7
2.145,1
2.1719999999999997,9
1.0,4
1.0,5
1.5979999999999999,6
1.857,8
1.88,2
1.892,3
1.9889999999999999,1
2.048,9
2.081,7
1.291,4
1.604,5
1.63,6
1.787,3
1.892,1
1.9100000000000001,2
2.04,7
2.198,8
2.246,9
1.327,4
1.518,5
1.591,3
1.675,6
1.967,8
1.984,2
2.085,9
2.218,1
2.229,7
1.0,4
1.354,5
1.706,6
1.804,9
1.892,3
2.0549999999999997,2
2.129,7
2.1950000000000003,1
2.25,8
1.23,5
1.334,4
1.6949999999999998,3
1.708,6
2.024,8
2.0380000000000003,1
2.088,2
2.2199999999999998,7
2.267,9
1.126,5
1.349,4
1.454,3
1.762,6
2.168,7
2.17,9
2.184,2
2.319,1
2.425,8
1.227,5
1.357,4
1.552,3
1.802,6
1.858,7
2.012,9
2.138,8
2.226,2
2.2640000000000002,1
1.338,5
1.369,4
1.454,3
1.782,6
2.034,9
2.0789999999999997,1
2.1710000000000003,2
2.326,7
2.423,8
1.411,3
1.411,4
1.435,5
1.83,6
1.859,9
2.225,2
2.282,8
2.292,7
2.3680000000000003,1
1.411,4
1.479,5
1.671,3
1.814,6
1.814,9
2.053,8
2.067,7
2.1879999999999997,2
2.2569999999999997,1
1.41,4
1.499,5
1.601,3
1.791,6
1.877,8
2.076,1
2.13,9
2.149,2
2.366,7
1.416,4
1.483,3
1.529,5
1.792,6
2.145,2
2.157,9
2.19,8
2.2649999999999997,7
2.3049999999999997,1
1.409,4
1.536,5
1.752,3
1.77,6
2.05,7
2.097,9
2.1109999999999998,2
2.1630000000000003,8
2.194,1
1.417,4
1.563,5
1.6840000000000002,3
1.7810000000000001,6
2.019,9
2.076,1
2.126,2
2.133,8
2.372,7
1.409,4
1.526,3
1.568,5
1.774,6
1.927,8
2.1100000000000003,2
2.253,7
2.286,1
2.3360000000000003,9
1.388,4
1.55,5
1.741,6
1.7810000000000001,3
2.0220000000000002,7
2.0549999999999997,2
2.151,1
2.218,9
2.263,8
1.397,4
1.5739999999999998,5
1.704,3
1.768,6
2.0469999999999997,1
2.083,2
2.162,9
2.234,8
2.325,7
1.411,4
1.557,3
1.603,5
1.8010000000000002,6
2.029,9
2.122,2
2.167,8
2.269,7
2.311,1
1.3940000000000001,4
1.581,5
1.77,6
1.811,3
1.8780000000000001,8
2.036,7
2.0700000000000003,2
2.173,1
2.292,9
1.392,4
1.579,5
1.696,3
1.766,6
2.024,1
2.0549999999999997,2
2.207,9
2.241,8
2.292,7
1.41,4
1.5510000000000002,3
1.6099999999999999,5
1.804,6
2.1,2
2.151,9
2.2279999999999998,8
2.2439999999999998,7
2.2880000000000003,1
1.41,4
1.608,5
1.798,6
1.83,3
1.901,9
2.052,7
2.085,2
2.113,8
2.191,1
1.408,4
1.604,5
1.709,3
1.792,6
1.8719999999999999,8
2.035,1
2.067,2
2.2720000000000002,9
2.307,7
1.416,4
1.541,3
1.613,5
1.8010000000000002,6
2.073,2
2.215,7
2.222,9
2.255,1
2.269,8
1.414,4
1.6099999999999999,5
1.794,6
1.814,3
2.0229999999999997,7
2.0620000000000003,2
2.112,9
2.167,1
2.194,8
1.431,4
1.633,5
1.729,3
1.822,6
1.9140000000000001,9
2.065,1
2.097,2
2.1319999999999997,8
2.327,7
1.43,4
1.548,3
1.629,5
1.814,6
1.893,8
2.085,2
2.214,7
2.2720000000000002,1
2.3040000000000003,9
1.416,4
1.607,5
1.783,6
1.804,3
2.0,7
2.042,2
2.146,1
2.19,9
2.2350000000000003,8
1.431,4
1.627,5
1.718,3
1.806,6
2.042,1
2.072,2
2.123,9
2.205,8
2.299,7
1.45,4
1.562,3
1.65,5
1.835,6
1.925,9
2.108,2
2.145,8
2.241,7
2.3,1
1.43,4
1.621,5
1.794,6
1.8159999999999998,3
1.866,8
2.01,7
2.0540000000000003,2
2.159,1
2.266,9
1.43,4
1.62,5
1.705,3
1.7890000000000001,6
2.018,1
2.0469999999999997,2
2.1950000000000003,9
2.241,8
2.269,7
1.452,4
1.556,3
1.649,5
1.821,6
2.089,2
2.142,9
2.2190000000000003,7
2.225,8
2.278,1
1.448,4
1.642,5
1.81,6
1.835,3
1.897,9
2.0300000000000002,7
2.074,2
2.109,8
2.181,1
1.447,4
1.637,5
1.7189999999999999,3
1.802,6
1.874,8
2.034,1
2.0629999999999997,2
2.279,9
2.2889999999999997,7
1.451,4
1.546,3
1.642,5
1.8050000000000002,6
2.066,2
2.194,7
2.217,9
2.25,1
2.263,8
1.451,4
1.638,5
1.796,6
1.825,3
2.013,7
2.0549999999999997,2
2.107,9
2.161,1
2.189,8
1.4689999999999999,4
1.663,5
1.7389999999999999,3
1.8239999999999998,6
1.911,9
2.061,1
2.091,2
2.128,8
2.323,7
1.468,4
1.5550000000000002,3
1.659,5
1.814,6
1.889,8
2.08,2
2.209,7
2.266,1
2.299,9
1.453,4
1.635,5
1.782,6
1.814,3
1.995,7
2.036,2
2.141,1
2.185,9
2.23,8
0
9.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
5.0
5.0
5.0
5.0
3.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
w(inertia),c1,c2,No. de iteraciones
0.7,2.5,2.5,50
0
0.123
0.099
0.043
0.343
0.392
8
0.083
0.083
0.066
0.051
0.0
7
0.079
0.079
0.066
0.035
0.002
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
C1,C2,C3,C4,C5
0.218,0.673,0.061,0.372,0.932
0.376,0.228,0.622,0.394,0.396
0.727,0.835,0.352,0.952,0.085
0.801,0.723,0.886,0.15,0.023
0.868,0.687,0.321,0.683,0.075
0.311,0.487,0.109,0.607,0.166
0.917,0.243,0.436,0.513,0.74
0.514,0.885,0.385,0.25,0.699
0.789,0.46,0.114,0.494,0.808
0.16,0.478,0.042,0.257,0.651
0.269,0.166,0.435,0.273,0.277
0.514,0.59,0.246,0.664,0.059
0.565,0.51,0.621,0.104,0.016
0.611,0.484,0.224,0.475,0.052
0.22,0.343,0.076,0.424,0.116
0.643,0.172,0.305,0.359,0.518
0.361,0.62,0.269,0.176,0.489
0.552,0.322,0.08,0.346,0.566
0.083,0.243,0.021,0.155,0.452
0.137,0.085,0.232,0.165,0.192
0.259,0.297,0.131,0.405,0.041
0.284,0.256,0.332,0.064,0.011
0.179,0.142,0.082,0.228,0.036
0.063,0.099,0.028,0.206,0.081
0.187,0.048,0.112,0.175,0.36
0.103,0.18,0.099,0.087,0.34
0.159,0.091,0.029,0.168,0.393
0.013,0.031,0.003,0.07,0.312
-0.011,-0.006,0.014,0.054,0.132
0.03,0.034,0.029,0.219,0.028
-0.028,-0.025,0.092,0.022,0.008
-0.069,-0.054,-0.008,0.067,0.025
-0.026,-0.04,-0.003,0.063,0.056
-0.074,-0.022,-0.009,0.054,0.248
-0.044,-0.073,-0.008,0.029,0.234
-0.066,-0.041,-0.003,0.052,0.27
-0.041,-0.13,-0.01,-0.005,0.214
-0.082,-0.049,-0.105,-0.014,0.089
-0.143,-0.164,-0.052,0.088,0.019
-0.176,-0.159,-0.088,-0.004,0.005
-0.177,-0.14,-0.055,-0.031,0.017
-0.065,-0.101,-0.019,-0.025,0.038
-0.204,-0.057,-0.074,-0.013,0.17
-0.117,-0.198,-0.065,-0.003,0.16
-0.178,-0.106,-0.02,-0.013,0.185
-0.068,-0.211,-0.017,-0.048,0.146
-0.117,-0.071,-0.169,-0.054,0.059
-0.2,-0.229,-0.087,-0.022,0.012
