Método,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
DA-PSO,10,16:53:58.026342,2024-03-12,16:54:02.236955,0:00:04.210613
Índice de similitud,Ranking
1.0,9
1.284,8
1.311,7
1.388,6
1.4889999999999999,5
1.524,4
1.887,3
2.299,2
3.082,1
1.389,9
1.563,8
1.774,6
1.8519999999999999,5
1.866,7
1.891,4
1.984,3
2.134,2
2.3289999999999997,1
1.418,9
1.6099999999999999,8
1.8010000000000002,7
1.814,6
1.881,5
1.9529999999999998,4
2.051,3
2.128,2
2.217,1
1.45,9
1.657,8
1.795,7
1.87,6
1.937,5
2.024,4
2.029,3
2.0389999999999997,2
2.207,1
1.468,9
1.6800000000000002,8
1.7850000000000001,6
1.802,7
1.8479999999999999,5
2.059,4
2.0700000000000003,3
2.194,2
2.2199999999999998,1
1.476,9
1.686,8
1.795,6
1.851,5
1.869,7
1.9689999999999999,4
2.083,3
2.1559999999999997,2
2.292,1
1.491,9
1.6989999999999998,8
1.808,6
1.8479999999999999,7
1.861,5
1.959,4
2.106,3
2.2190000000000003,1
2.259,2
1.513,9
1.716,8
1.76,6
1.869,5
1.8820000000000001,4
1.9020000000000001,7
2.129,3
2.197,1
2.371,2
1.499,4
1.554,9
1.75,8
1.77,6
1.826,5
1.986,7
2.012,1
2.189,3
2.524,2
1.499,9
1.643,6
1.649,8
1.681,5
1.8820000000000001,7
2.016,1
2.042,3
2.192,4
2.377,2
0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
4.0
9.0
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
w(inertia),c1,c2,No. de iteraciones
0.7,2.5,2.5,10
0
0.123
0.099
0.043
0.343
0.392
8
0.083
0.083
0.066
0.051
0.0
7
0.079
0.079
0.066
0.035
0.002
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
C1,C2,C3,C4,C5
0.865,0.339,0.717,0.341,0.887
0.104,0.07,0.54,0.925,0.749
0.605,0.268,0.316,0.857,0.316
0.37,0.519,0.786,0.302,0.538
0.52,0.703,0.03,0.18,0.639
0.389,0.405,0.745,0.138,0.644
0.255,0.067,0.97,0.222,0.945
0.252,0.583,0.83,0.599,0.108
0.464,0.205,0.138,0.476,0.061
0.612,0.244,0.501,0.236,0.62
0.079,0.055,0.378,0.645,0.524
0.429,0.193,0.221,0.598,0.221
0.263,0.367,0.551,0.211,0.377
0.367,0.495,0.02,0.123,0.447
0.275,0.286,0.521,0.096,0.451
0.18,0.048,0.679,0.156,0.661
0.177,0.409,0.581,0.421,0.076
0.325,0.143,0.097,0.333,0.043
0.314,0.13,0.267,0.141,0.43
0.046,0.034,0.202,0.392,0.364
0.132,0.062,0.082,0.288,0.153
0.082,0.112,0.204,0.102,0.262
0.112,0.149,0.007,0.057,0.311
0.084,0.087,0.193,0.046,0.313
0.055,0.016,0.251,0.076,0.459
0.053,0.121,0.215,0.206,0.053
0.096,0.042,0.036,0.162,0.03
0.044,0.024,0.06,0.063,0.297
0.013,0.012,0.046,0.209,0.25
-0.041,-0.015,-0.006,0.085,0.105
-0.024,-0.035,-0.015,0.03,0.18
-0.036,-0.05,-0.001,0.014,0.214
-0.027,-0.028,-0.015,0.013,0.215
-0.006,0.0,0.022,0.033,0.317
-0.019,-0.044,-0.016,0.064,0.036
-0.036,-0.016,-0.003,0.049,0.021
-0.111,-0.055,-0.095,0.002,0.204
-0.012,-0.005,-0.071,0.081,0.171
-0.126,-0.053,-0.053,-0.006,0.071
-0.071,-0.101,-0.13,-0.013,0.122
-0.102,-0.139,-0.005,-0.012,0.145
-0.076,-0.08,-0.123,-0.007,0.146
-0.048,-0.011,-0.106,0.0,0.218
-0.05,-0.117,-0.137,-0.022,0.024
-0.094,-0.041,-0.023,-0.02,0.014
-0.174,-0.088,-0.172,-0.041,0.139
-0.025,-0.015,-0.13,-0.026,0.115
-0.135,-0.058,-0.069,-0.068,0.047
-0.08,-0.113,-0.17,-0.037,0.081
-0.135,-0.184,-0.008,-0.027,0.097
-0.101,-0.106,-0.181,-0.018,0.098
-0.058,-0.014,-0.16,-0.023,0.149
-0.056,-0.13,-0.179,-0.07,0.016
-0.104,-0.045,-0.03,-0.057,0.009
-0.171,-0.087,-0.185,-0.062,0.093
-0.032,-0.02,-0.161,-0.089,0.076
-0.113,-0.049,-0.066,-0.098,0.03
-0.085,-0.12,-0.191,-0.052,0.053
-0.104,-0.141,-0.007,-0.032,0.063
-0.078,-0.081,-0.162,-0.022,0.064
-0.051,-0.013,-0.163,-0.034,0.1
-0.048,-0.11,-0.172,-0.091,0.01
-0.088,-0.039,-0.029,-0.073,0.006
-0.171,-0.087,-0.192,-0.076,0.061
-0.023,-0.016,-0.13,-0.114,0.049
-0.079,-0.035,-0.053,-0.107,0.018
-0.072,-0.102,-0.174,-0.058,0.033
-0.068,-0.092,-0.005,-0.032,0.039
-0.051,-0.053,-0.125,-0.023,0.04
-0.048,-0.013,-0.164,-0.042,0.066
-0.034,-0.079,-0.14,-0.095,0.006
-0.063,-0.028,-0.023,-0.076,0.004
-0.137,-0.07,-0.165,-0.079,0.038
-0.014,-0.011,-0.092,-0.118,0.03
-0.047,-0.021,-0.038,-0.102,0.009
-0.049,-0.069,-0.134,-0.057,0.019
-0.037,-0.049,-0.003,-0.029,0.022
-0.038,-0.04,-0.105,-0.024,0.024
-0.027,-0.007,-0.111,-0.038,0.042
-0.02,-0.048,-0.1,-0.089,0.003
-0.038,-0.017,-0.016,-0.071,0.002
-0.091,-0.048,-0.12,-0.074,0.022
-0.011,-0.01,-0.057,-0.109,0.016
-0.026,-0.014,-0.024,-0.09,0.003
-0.027,-0.036,-0.084,-0.051,0.009
-0.026,-0.033,-0.003,-0.028,0.011
-0.018,-0.019,-0.057,-0.019,0.013
-0.015,-0.007,-0.065,-0.032,0.025
-0.014,-0.027,-0.063,-0.077,0.001
-0.022,-0.012,-0.011,-0.062,0.001
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
0.66,0.291,0.571,0.323,0.81
0.132,0.107,0.444,0.726,0.582
0.486,0.25,0.287,0.674,0.243
0.325,0.429,0.614,0.269,0.384
0.433,0.561,0.09,0.208,0.451
0.345,0.357,0.587,0.154,0.454
0.255,0.123,0.745,0.203,0.663
0.256,0.488,0.647,0.456,0.078
0.408,0.226,0.163,0.384,0.043
0.974,0.421,0.838,0.464,0.8
0.178,0.141,0.646,0.8,0.946
0.618,0.312,0.369,0.962,0.396
0.407,0.541,0.818,0.371,0.646
0.545,0.71,0.097,0.265,0.762
0.429,0.444,0.78,0.2,0.767
0.31,0.139,0.996,0.279,0.8
0.309,0.609,0.862,0.662,0.131
0.504,0.268,0.199,0.546,0.073
0.8,0.445,0.898,0.527,0.8
0.191,0.153,0.692,0.8,0.8
0.577,0.297,0.363,0.8,0.501
0.383,0.506,0.803,0.401,0.826
0.509,0.66,0.096,0.279,0.976
0.402,0.416,0.765,0.213,0.982
0.304,0.139,0.8,0.312,0.8
0.29,0.565,0.846,0.726,0.167
0.468,0.252,0.196,0.595,0.094
0.689,0.39,0.803,0.529,0.8
0.179,0.148,0.621,0.881,0.971
0.451,0.244,0.31,0.794,0.572
0.312,0.405,0.673,0.388,0.948
0.407,0.521,0.091,0.267,0.8
0.326,0.336,0.642,0.206,0.8
0.256,0.128,0.694,0.312,0.8
0.24,0.448,0.709,0.704,0.191
0.374,0.211,0.173,0.575,0.108
0.515,0.302,0.631,0.488,0.939
0.154,0.133,0.491,0.855,0.8
0.316,0.186,0.241,0.726,0.619
0.232,0.292,0.503,0.351,0.8
0.272,0.337,0.083,0.24,0.897
0.225,0.23,0.461,0.188,0.898
0.198,0.114,0.534,0.289,0.949
0.184,0.318,0.53,0.634,0.207
0.27,0.166,0.143,0.518,0.117
0.344,0.215,0.446,0.426,0.8
0.122,0.113,0.33,0.766,0.876
0.203,0.137,0.175,0.628,0.649
0.147,0.172,0.312,0.299,0.853
0.168,0.196,0.076,0.208,0.96
0.147,0.149,0.299,0.166,0.962
0.147,0.101,0.371,0.255,0.8
0.136,0.208,0.358,0.543,0.217
0.182,0.127,0.114,0.445,0.123
0.173,0.128,0.254,0.35,0.861
0.099,0.097,0.2,0.652,0.925
0.124,0.102,0.122,0.521,0.667
0.075,0.07,0.138,0.241,0.886
0.1,0.104,0.071,0.176,0.999
0.096,0.096,0.174,0.143,0.8
0.099,0.088,0.207,0.213,0.866
0.102,0.129,0.218,0.448,0.223
0.119,0.099,0.091,0.369,0.127
0.036,0.058,0.089,0.271,0.899
0.085,0.086,0.108,0.534,0.955
0.077,0.081,0.084,0.419,0.676
0.026,0.001,0.004,0.184,0.905
0.063,0.055,0.068,0.147,0.8
0.058,0.056,0.069,0.119,0.824
0.072,0.081,0.096,0.175,0.908
0.082,0.081,0.118,0.359,0.226
0.081,0.082,0.075,0.298,0.129
0.2,0.01,0.2,0.197,0.921
