Algoritmo,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
TOPSIS-PSO,10,23:58:46.258526,2024-03-01,23:58:48.201758,0:00:01.943232
Algoritmo,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
TOPSIS-PSO,10,23:58:46.258526,2024-03-01,23:58:48.201758,0:00:01.943232
Puntuación Global,Alternativa
0.10974122074398511,3
0.1368897148785883,4
0.1381307859708272,2
0.1527323181674522,5
0.17717128389484854,6
0.19773657873650632,7
0.2163173071645487,8
0.29892467201668355,1
0.7842969203218978,0
0.20635250468845803,7
0.23286445067488967,3
0.3031936916319073,6
0.3619376001567993,8
0.42886527618971965,5
0.6021460518922217,2
0.7356468465533781,4
0.737957496915811,1
0.7725259719362851,0
0.243515285752735,7
0.2633489541926328,3
0.3459736271632019,6
0.3995045910751746,8
0.46686607341269076,5
0.6521339394836462,2
0.7128276892168877,1
0.7729710664995935,0
0.8089463598518937,4
0.26945614675044316,3
0.2781253853574136,7
0.37358160951988995,6
0.42470654237551303,8
0.4951651649823199,5
0.6825161992207506,2
0.7269376418305361,1
0.7695074810281001,4
0.8110209356854372,0
0.26473883248078783,3
0.28382533101271196,7
0.2921360019843905,6
0.41798849206312855,8
0.48668062298198184,5
0.6675766173713337,2
0.7109311533460103,1
0.7743750657281172,4
0.8517863936039387,0
0.23105730629313337,7
0.24789416961528826,3
0.3116418704939917,6
0.4119170646350676,8
0.47268887547658656,5
0.6222330554626692,2
0.7098087752242276,1
0.7491722631437758,4
0.8523260869446235,0
0.19932997792123794,3
0.2462360039676644,7
0.3290615136980303,6
0.3718253667813498,8
0.4176312202307118,5
0.5547036249845397,2
0.6358626084776828,1
0.7178225522494609,4
0.964518987895732,0
0.14726191199613956,3
0.228148438720789,7
0.23719982364675724,8
0.26545439576381097,5
0.30068554546567944,6
0.31870285434383744,2
0.41603790455930173,1
0.44404906298484664,4
0.8926543668657849,0
0.19084994043591536,8
0.31895904986445994,7
0.3581352239270944,6
0.36748009758315975,4
0.38200557438694094,3
0.5792145583147621,0
0.6824779151532421,2
0.6854266287696832,1
0.6955731746281159,5
0.2014794492429454,0
0.206122671829898,3
0.27314674915217957,2
0.2769760278637433,7
0.2899187697651036,6
0.3692279077571127,5
0.4249738978159681,1
0.7520399338156509,4
0.9461311629925819,8
0
4.0
8.0
8.0
4.0
4.0
8.0
4.0
4.0
9.0
1.0
TOPSIS,TOPSISFIN
3,0.0
3,4.0
7,4.0
7,4.0
3,4.0
3,4.0
7,4.0
3,4.0
3,4.0
8,4.0
0,4.0
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
w(inertia),c1,c2,No. de iteraciones
0.7,2.5,2.5,10
0
0.4
0.2
0.03
0.07
0.3
0
0
1
2
3
4
3
0.062
0.062
0.063
0.058
0.007
4
0.066
0.066
0.07
0.085
0.004
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
C1,C2,C3,C4,C5
0.686,0.953,0.68,0.811,0.847
0.913,0.414,0.536,0.236,0.935
0.96,0.211,0.497,0.778,0.58
0.201,0.592,0.821,0.918,0.214
0.732,0.903,0.823,0.981,0.81
0.679,0.12,0.017,0.621,0.433
0.146,0.49,0.31,0.254,0.653
0.177,0.089,0.074,0.313,0.562
0.487,0.346,0.772,0.193,0.462
0.483,0.67,0.475,0.562,0.591
0.641,0.291,0.375,0.16,0.654
0.673,0.149,0.347,0.541,0.406
0.141,0.414,0.575,0.643,0.15
0.512,0.631,0.575,0.681,0.567
0.474,0.083,0.011,0.435,0.303
0.1,0.341,0.216,0.18,0.457
0.121,0.059,0.051,0.224,0.393
0.337,0.239,0.54,0.137,0.323
0.264,0.364,0.249,0.263,0.406
0.248,0.115,0.138,0.045,0.439
0.259,0.06,0.128,0.177,0.273
0.056,0.16,0.212,0.215,0.101
0.197,0.242,0.211,0.223,0.381
0.182,0.033,0.004,0.144,0.204
0.039,0.13,0.079,0.059,0.307
0.046,0.022,0.019,0.077,0.264
0.127,0.09,0.198,0.044,0.217
0.026,0.123,0.008,-0.04,0.276
0.031,0.018,0.007,-0.022,0.299
-0.009,0.002,-0.014,-0.063,0.179
0.001,-0.005,-0.022,-0.068,0.066
-0.007,-0.01,-0.024,-0.079,0.251
-0.008,0.0,-0.0,-0.048,0.134
-0.001,-0.006,-0.009,-0.021,0.202
-0.002,-0.001,-0.002,-0.021,0.174
-0.008,-0.006,-0.022,-0.017,0.143
-0.111,-0.075,-0.125,-0.195,0.185
-0.133,-0.058,-0.088,-0.056,0.201
-0.156,-0.033,-0.089,-0.178,0.113
-0.032,-0.097,-0.146,-0.206,0.042
-0.121,-0.15,-0.151,-0.236,0.168
-0.113,-0.021,-0.003,-0.139,0.085
-0.025,-0.082,-0.055,-0.056,0.128
-0.031,-0.017,-0.014,-0.066,0.11
-0.083,-0.06,-0.138,-0.043,0.091
-0.167,-0.171,-0.175,-0.24,0.116
-0.221,-0.099,-0.138,-0.071,0.133
-0.235,-0.052,-0.128,-0.23,0.069
-0.05,-0.146,-0.211,-0.268,0.026
-0.162,-0.2,-0.19,-0.262,0.105
-0.169,-0.032,-0.005,-0.181,0.052
-0.038,-0.123,-0.079,-0.071,0.082
-0.042,-0.022,-0.018,-0.077,0.066
-0.123,-0.089,-0.198,-0.054,0.056
-0.168,-0.192,-0.171,-0.219,0.076
-0.244,-0.109,-0.148,-0.071,0.084
-0.249,-0.054,-0.132,-0.222,0.04
-0.051,-0.153,-0.219,-0.26,0.014
-0.18,-0.222,-0.207,-0.264,0.066
-0.177,-0.031,-0.005,-0.176,0.029
-0.032,-0.109,-0.069,-0.061,0.047
-0.045,-0.022,-0.019,-0.083,0.038
-0.128,-0.092,-0.205,-0.055,0.031
-0.143,-0.174,-0.14,-0.156,0.043
-0.222,-0.101,-0.13,-0.051,0.051
-0.22,-0.049,-0.113,-0.165,0.02
-0.046,-0.136,-0.186,-0.194,0.006
-0.166,-0.204,-0.184,-0.204,0.038
-0.156,-0.028,-0.004,-0.131,0.012
-0.027,-0.086,-0.052,-0.038,0.023
-0.035,-0.018,-0.014,-0.053,0.018
-0.113,-0.081,-0.175,-0.04,0.013
-0.128,-0.163,-0.12,-0.11,0.021
-0.17,-0.078,-0.094,-0.027,0.027
-0.164,-0.037,-0.079,-0.146,0.005
-0.035,-0.101,-0.131,-0.166,0.0
-0.129,-0.158,-0.135,-0.173,0.018
-0.116,-0.022,-0.003,-0.122,0.0
-0.024,-0.073,-0.042,-0.023,0.007
-0.029,-0.016,-0.011,-0.032,0.004
-0.084,-0.06,-0.123,-0.021,0.0
-0.093,-0.125,-0.085,-0.109,0.005
-0.146,-0.034,-0.108,-0.077,0.01
-0.147,-0.014,-0.1,-0.082,-0.005
-0.013,-0.106,-0.136,-0.089,-0.004
-0.078,-0.13,-0.118,-0.116,0.003
-0.116,-0.007,-0.001,-0.073,-0.008
-0.01,-0.037,-0.021,-0.005,-0.005
-0.012,-0.006,-0.005,-0.008,-0.006
-0.046,-0.032,-0.11,-0.004,-0.009
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
0.531,0.717,0.545,0.649,0.781
0.694,0.343,0.441,0.241,0.712
0.73,0.206,0.413,0.617,0.428
0.203,0.476,0.638,0.701,0.157
0.578,0.697,0.645,0.766,0.571
0.544,0.154,0.077,0.493,0.306
0.175,0.416,0.282,0.227,0.459
0.2,0.138,0.117,0.259,0.395
0.42,0.322,0.606,0.188,0.323
0.795,0.8,0.794,0.912,0.8
0.942,0.458,0.579,0.286,0.8
0.989,0.266,0.541,0.794,0.701
0.259,0.636,0.85,0.916,0.258
0.775,0.939,0.856,0.989,0.952
0.726,0.187,0.081,0.637,0.51
0.214,0.546,0.361,0.286,0.766
0.246,0.16,0.136,0.336,0.659
0.547,0.412,0.804,0.232,0.54
0.821,0.923,0.802,0.872,0.8
0.973,0.476,0.586,0.264,0.8
0.98,0.268,0.527,0.731,0.88
0.26,0.631,0.828,0.848,0.324
0.768,0.929,0.832,0.91,0.8
0.718,0.187,0.081,0.589,0.644
0.213,0.54,0.352,0.265,0.968
